dataset,model_family,variant_name,imbalance_strategy,calibration_type,fit_seconds,fn_cost,fp_cost,review_cost,calibration_fit_split,policy_selection_split,test_set_used_for_selection,new_features_created,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,validation_best_binary_cost,validation_best_manual_review_cost,validation_best_manual_review_rate,calibration_val_roc_auc,calibration_val_pr_auc,calibration_val_brier,calibration_val_ece
heloc,XGBoost,xgboost_spw_1.25_mds_3,scale_pos_weight=1.25; max_delta_step=3,isotonic,0.3009117000037804,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7885800390512138,0.761954457210581,0.1869541192452343,0.035112568502727315,919.0,789.5,0.2375886524822695,0.8080828977104116,0.783458421920042,0.17547485910069807,3.4290432659308636e-17
heloc,XGBoost,xgboost_spw_1.25_mds_5,scale_pos_weight=1.25; max_delta_step=5,uncalibrated,0.30448369996156543,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7940485456558867,0.7889205377091747,0.18577601909610555,0.044981055452347776,911.0,761.0,0.29584599797365757,0.7993556965781725,0.7892502709733238,0.1833216885953195,0.04148670493110322
heloc,XGBoost,xgboost_spw_1.25_mds_5,scale_pos_weight=1.25; max_delta_step=5,sigmoid,0.30448369996156543,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7940485456558867,0.7889205377091747,0.18422268625200336,0.020352500657707558,911.0,761.5,0.29635258358662614,0.7993556965781725,0.7892502709733238,0.1817458509550423,0.044121036115602544
heloc,XGBoost,xgboost_spw_1.25_mds_5,scale_pos_weight=1.25; max_delta_step=5,isotonic,0.30448369996156543,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7885800390512138,0.761954457210581,0.1869541192452343,0.035112568502727315,919.0,789.5,0.2375886524822695,0.8080828977104116,0.783458421920042,0.17547485910069807,3.4290432659308636e-17
heloc,XGBoost,xgboost_spw_1.5_mds_1,scale_pos_weight=1.5; max_delta_step=1,uncalibrated,0.30516410002019256,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7932028473044073,0.7877976858267584,0.18878424068348065,0.05840448838523699,902.0,769.0,0.2907801418439716,0.8001774830506541,0.7863744167941482,0.18562603862469812,0.06975078427150279
heloc,XGBoost,xgboost_spw_1.5_mds_1,scale_pos_weight=1.5; max_delta_step=1,sigmoid,0.30516410002019256,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7932028473044073,0.7877976858267584,0.1847852687061226,0.014046930248458564,901.0,767.5,0.2862208713272543,0.8001774830506541,0.7863744167941482,0.1812887010576881,0.03817095772588958
heloc,XGBoost,xgboost_spw_1.5_mds_1,scale_pos_weight=1.5; max_delta_step=1,isotonic,0.30516410002019256,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7902071729615071,0.7684074127897058,0.18718746387502103,0.034359736010614095,903.0,793.0,0.22492401215805471,0.809401180176684,0.7866966875437326,0.1749257219750938,4.571472127240821e-17
heloc,XGBoost,xgboost_spw_1.5_mds_3,scale_pos_weight=1.5; max_delta_step=3,uncalibrated,0.3064860000740737,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7938151431929252,0.7872190048051144,0.18836457947337656,0.060674520160364995,910.0,760.0,0.2988855116514691,0.7982228867532586,0.7857585781429992,0.18668996353814146,0.07150244078429946
heloc,XGBoost,xgboost_spw_1.5_mds_3,scale_pos_weight=1.5; max_delta_step=3,sigmoid,0.3064860000740737,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7938151431929252,0.7872190048051144,0.18436876018522033,0.014439991709801514,910.0,760.5,0.2933130699088146,0.7982228867532586,0.7857585781429992,0.18223170849154857,0.03258654537533785
heloc,XGBoost,xgboost_spw_1.5_mds_3,scale_pos_weight=1.5; max_delta_step=3,isotonic,0.3064860000740737,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7905639599863864,0.7683164490179485,0.1856773932045467,0.026057958223759406,927.0,785.0,0.22391084093211752,0.8066091035679229,0.7818669699277082,0.17648373228244607,9.844445933543319e-17
