dataset,split,model,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,candidate_note,test_set_used_for_selection,best_model_at_threshold,rank_model_only_at_threshold
taiwan,validation,Best CatBoost probability ranking,0.11,1181,2715,1958,146,0.1409063670411985,0.12490636704119852,0.0,True,True,,False,SCRE-Pareto probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.11,1167,2828,1845,160,0.13624531835205994,0.12490636704119852,0.0,True,True,,False,SCRE-Pareto probability ranking,7
taiwan,validation,Best literature reproduction model,0.11,1193,2776,1897,134,0.1416498127340824,0.12490636704119852,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Pareto probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.11,1231,2936,1737,96,0.144687265917603,0.12490636704119852,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,2
taiwan,validation,SCRE-Pareto probability ranking,0.11,1239,2967,1706,88,0.1453820224719101,0.12490636704119852,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,1
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.11,1174,2619,2054,153,0.14171722846441948,0.12490636704119852,0.0,True,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.12,1156,2500,2173,171,0.13584848484848486,0.11496212121212124,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.12,1156,2500,2173,171,0.13584848484848486,0.11496212121212124,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.12,1144,2555,2118,183,0.13259848484848485,0.11496212121212124,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.12,1177,2601,2072,150,0.1370530303030303,0.11496212121212124,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,3
taiwan,validation,SCRE-Optimized probability ranking,0.12,1215,2669,2004,112,0.1418409090909091,0.11496212121212124,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.12,1213,2700,1973,114,0.1408030303030303,0.11496212121212124,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.12,1142,2396,2277,185,0.13587878787878788,0.11496212121212124,0.0,True,True,,False,SCRE-Optimized probability ranking,4
taiwan,validation,V2 final locked policy ranking,0.13,1137,2328,2345,190,0.13152298850574712,0.10478927203065136,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.13,1137,2328,2345,190,0.13152298850574712,0.10478927203065136,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.13,1100,2319,2354,227,0.12558045977011492,0.10478927203065136,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.13,1142,2360,2313,185,0.13155938697318006,0.10478927203065136,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.13,1190,2448,2225,137,0.13736781609195403,0.10478927203065136,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.13,1183,2452,2221,144,0.1361015325670498,0.10478927203065136,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.13,1121,2180,2493,206,0.13254214559386973,0.10478927203065136,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.14,1109,2094,2579,218,0.12801937984496123,0.09437984496124033,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Pareto probability ranking,3
taiwan,validation,Best CatBoost probability ranking,0.14,1109,2094,2579,218,0.12801937984496123,0.09437984496124033,0.0,True,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,Best Scorecard probability ranking,0.14,1059,2071,2602,268,0.12031007751937983,0.09437984496124033,0.0,True,True,,False,SCRE-Pareto probability ranking,7
taiwan,validation,Best literature reproduction model,0.14,1118,2188,2485,209,0.12696899224806202,0.09437984496124033,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Pareto probability ranking,5
taiwan,validation,SCRE-Optimized probability ranking,0.14,1165,2239,2434,162,0.1334186046511628,0.09437984496124033,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,2
taiwan,validation,SCRE-Pareto probability ranking,0.14,1163,2225,2448,164,0.13346511627906976,0.09437984496124033,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,1
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.14,1074,1981,2692,253,0.1252519379844961,0.09437984496124033,0.0,True,True,,False,SCRE-Pareto probability ranking,6
taiwan,validation,V2 final locked policy ranking,0.15,1084,1958,2715,243,0.12307843137254902,0.08372549019607844,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best CatBoost probability ranking,0.15,1084,1958,2715,243,0.12307843137254902,0.08372549019607844,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best Scorecard probability ranking,0.15,1030,1829,2844,297,0.11787254901960784,0.08372549019607844,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.15,1082,2029,2644,245,0.12065686274509804,0.08372549019607844,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,5
taiwan,validation,SCRE-Optimized probability ranking,0.15,1141,2038,2635,186,0.13022549019607843,0.08372549019607844,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.15,1132,2022,2651,195,0.12919607843137254,0.08372549019607844,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.15,1036,1790,2883,291,0.12001960784313725,0.08372549019607844,0.0,True,True,,False,SCRE-Optimized probability ranking,6
taiwan,validation,V2 final locked policy ranking,0.16,1037,1735,2938,290,0.11775396825396825,0.07281746031746034,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best CatBoost probability ranking,0.16,1037,1735,2938,290,0.11775396825396825,0.07281746031746034,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best Scorecard probability ranking,0.16,986,1585,3088,341,0.11401587301587301,0.07281746031746034,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.16,1027,1792,2881,300,0.11427777777777776,0.07281746031746034,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,6
taiwan,validation,SCRE-Optimized probability ranking,0.16,1107,1836,2837,220,0.12621428571428572,0.07281746031746034,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.16,1092,1793,2880,235,0.12507936507936507,0.07281746031746034,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.16,999,1624,3049,328,0.11494444444444445,0.07281746031746034,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,V2 final locked policy ranking,0.17,975,1486,3187,352,0.11177309236947791,0.06164658634538153,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best CatBoost probability ranking,0.17,975,1486,3187,352,0.11177309236947791,0.06164658634538153,0.0,True,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best Scorecard probability ranking,0.17,943,1403,3270,384,0.10927309236947791,0.06164658634538153,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.17,990,1579,3094,337,0.11109839357429718,0.06164658634538153,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,6
taiwan,validation,SCRE-Optimized probability ranking,0.17,1072,1589,3084,255,0.12442369477911647,0.06164658634538153,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.17,1051,1587,3086,276,0.12099196787148593,0.06164658634538153,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.17,973,1484,3189,354,0.11150803212851404,0.06164658634538153,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,V2 final locked policy ranking,0.18,918,1246,3427,409,0.10741463414634148,0.05020325203252038,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best CatBoost probability ranking,0.18,918,1246,3427,409,0.10741463414634148,0.05020325203252038,0.0,True,True,,False,SCRE-Optimized probability ranking,5
taiwan,validation,Best Scorecard probability ranking,0.18,909,1249,3424,418,0.1058048780487805,0.05020325203252038,0.0,True,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,Best literature reproduction model,0.18,955,1386,3287,372,0.10845934959349596,0.05020325203252038,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,4
taiwan,validation,SCRE-Optimized probability ranking,0.18,1024,1420,3253,303,0.11871544715447155,0.05020325203252038,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.18,1009,1415,3258,318,0.11639837398373984,0.05020325203252038,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
