dataset,analysis_type,fold,seed,n,precision,recall,specificity,pr_auc,roc_auc,cost,manual_review_rate,calibration_error,tp,fp,fn,tn,target_rate,score_mean,score_std,low_rate,manual_rate,high_rate,score_psi_vs_first_order_block,mean_feature_psi_vs_first_order_block,max_feature_psi_vs_first_order_block,decision_stability,real_temporal_validation,use_in_report_as,limitation
heloc,row_order_locked_test_diagnostic,2,,395,0.6637554585152838,0.7715736040609137,0.6111111111111112,0.7697489509013935,0.7718812490386094,147.0,0.3037974683544304,0.03736418672964138,152,77,45,121,0.49873417721518987,0.4784597387182993,0.24862101659373992,0.11645569620253164,0.3037974683544304,0.579746835443038,0.15324212975776857,0.04944499733962693,0.0847069291320006,0.9351898734177215,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
heloc,row_order_locked_test_diagnostic,3,,395,0.6388888888888888,0.875,0.5687203791469194,0.7551436627258437,0.8033432928085721,168.0,0.26329113924050634,0.056134231752562824,161,91,23,120,0.46582278481012657,0.5140023862980727,0.2513510645269342,0.09873417721518987,0.26329113924050634,0.6379746835443038,0.04125200247743923,0.04578616636814568,0.07154721186204964,0.9868354430379747,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
heloc,row_order_locked_test_diagnostic,4,,395,0.6907630522088354,0.8151658767772512,0.5815217391304348,0.793602312039788,0.7753966618586441,178.0,0.28354430379746837,0.04717857103245979,172,77,39,107,0.5341772151898734,0.5198637943314068,0.2568260401468794,0.08607594936708861,0.28354430379746837,0.6303797468354431,0.05000980508759846,0.04803642893733526,0.0781653665406517,0.9858227848101266,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
heloc,row_order_locked_test_diagnostic,5,,395,0.6819923371647509,0.8944723618090452,0.576530612244898,0.8371266048939572,0.8368628858578608,145.0,0.26329113924050634,0.06290094011831335,178,83,21,113,0.5037974683544304,0.531756848904332,0.25668878758318425,0.0759493670886076,0.26329113924050634,0.660759493670886,0.05110092889696972,0.03494416228261811,0.05121226060733318,0.9837974683544304,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
heloc,random_locked_test_partition_diagnostic,1,42.0,395,0.686046511627907,0.855072463768116,0.5691489361702128,0.8135709082964575,0.8106177407750026,150.5,0.25063291139240507,0.038498921169943745,177,81,30,107,0.5240506329113924,0.5242267359548297,0.25473461640487693,0.09620253164556962,0.25063291139240507,0.6531645569620254,,,,0.9807594936708861,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,2,42.0,395,0.65748031496063,0.8743455497382199,0.5735294117647058,0.7806797648447062,0.8076942819012423,150.5,0.2708860759493671,0.040514259262469376,167,87,24,117,0.4835443037974684,0.5102768488506565,0.2513304888117034,0.08607594936708861,0.2708860759493671,0.6430379746835443,,,,0.9984810126582279,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,3,42.0,395,0.7169811320754716,0.852017937219731,0.563953488372093,0.8332783424084519,0.8038377307331317,150.0,0.25316455696202533,0.05691721187530971,190,75,33,97,0.5645569620253165,0.5295610585400714,0.24842775227548308,0.0759493670886076,0.25316455696202533,0.6708860759493671,,,,0.9736708860759493,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,4,42.0,395,0.6938775510204082,0.8018867924528302,0.5901639344262295,0.7782146149522309,0.7665996494483966,159.0,0.29873417721518986,0.055374406269719276,170,75,42,108,0.5367088607594936,0.5184635096301994,0.25458199127485687,0.0810126582278481,0.29873417721518986,0.620253164556962,,,,0.9711392405063292,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,5,42.0,395,0.6613545816733067,0.8512820512820513,0.575,0.8173596065237401,0.8192307692307692,154.5,0.2759493670886076,0.03891904741351367,166,85,29,115,0.4936708860759494,0.5191601693160218,0.25481671094080205,0.08860759493670886,0.2759493670886076,0.6354430379746835,,,,0.9908860759493671,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
heloc,random_locked_test_partition_diagnostic,1,123.0,395,0.7,0.8484848484848485,0.6345177664974619,0.7936257203787862,0.811259806183664,157.0,0.3037974683544304,0.04661369757379209,168,72,30,125,0.5012658227848101,0.5123911726774488,0.2580779449670899,0.08860759493670886,0.3037974683544304,0.6075949367088608,,,,0.9630379746835444,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
