dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
heloc,Best XGBoost,FN2_FP1,2.0,1.0,2.0,0.305,validation,minimum validation expected cost,False,isotonic,669.0,0.7152988855116514,0.6690909090909091,0.8958130477117819,0.5195353748680043,0.7660283097418817,492,455,107,920,0.6967088607594937,0.6503153468815698,0.9027237354085603,0.4730728616684266,0.7560081466395112,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,448,499,100,928,699.0,0.3539240506329114,0.08499999999999999,0.03920423577045862,-0.03891050583657585,0.12354804646251322,-117,-217.0,More conservative cost ratio; lower FP burden is prioritized.
heloc,Best XGBoost,FN3_FP1,3.0,1.0,3.0,0.28,validation,minimum validation expected cost,False,isotonic,768.0,0.7001013171225937,0.6507276507276507,0.9143135345666992,0.4677930306230201,0.760323886639676,443,504,88,939,0.6845569620253165,0.637661454792658,0.9124513618677043,0.4371700105596621,0.7507002801120447,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,414,533,90,938,803.0,0.40658227848101264,0.060000000000000026,0.02655034368154685,-0.029182879377431914,0.0876451953537487,-83,-113.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best XGBoost,FN5_FP1,5.0,1.0,5.0,0.22,validation,minimum validation expected cost,False,isotonic,884.0,0.6676798378926039,0.6182281708094327,0.9444985394352483,0.36747624076029567,0.7473035439137135,348,599,57,970,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.3495248152059134,0.7411944869831547,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,331,616,60,968,916.0,0.46379746835443036,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best XGBoost,FN5_FP2,5.0,2.0,2.5,0.305,validation,minimum validation expected cost,False,isotonic,1445.0,0.7152988855116514,0.6690909090909091,0.8958130477117819,0.5195353748680043,0.7660283097418817,492,455,107,920,0.6967088607594937,0.6503153468815698,0.9027237354085603,0.4730728616684266,0.7560081466395112,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,448,499,100,928,1498.0,0.7584810126582279,0.08499999999999999,0.03920423577045862,-0.03891050583657585,0.12354804646251322,-117,582.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best XGBoost,FN5_FP3,5.0,3.0,1.6666666666666667,0.305,validation,minimum validation expected cost,False,isotonic,1900.0,0.7152988855116514,0.6690909090909091,0.8958130477117819,0.5195353748680043,0.7660283097418817,492,455,107,920,0.6967088607594937,0.6503153468815698,0.9027237354085603,0.4730728616684266,0.7560081466395112,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,448,499,100,928,1997.0,1.011139240506329,0.08499999999999999,0.03920423577045862,-0.03891050583657585,0.12354804646251322,-117,1081.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best XGBoost,FN10_FP1,10.0,1.0,10.0,0.09,validation,minimum validation expected cost,False,isotonic,909.0,0.5440729483282675,0.532987012987013,0.9990262901655307,0.050686378035902854,0.6951219512195123,48,899,1,1026,0.5336708860759494,0.5276485788113695,0.9931906614785992,0.03484688489968321,0.6891663854201823,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,33,914,7,1021,984.0,0.4982278481012658,-0.13,-0.08346253229974165,0.051556420233463074,-0.31467793030623015,298,68.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
heloc,Best XGBoost,FN10_FP2,10.0,2.0,5.0,0.22,validation,minimum validation expected cost,False,isotonic,1768.0,0.6676798378926039,0.6182281708094327,0.9444985394352483,0.36747624076029567,0.7473035439137135,348,599,57,970,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.3495248152059134,0.7411944869831547,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,331,616,60,968,1832.0,0.9275949367088607,0.0,0.0,0.0,0.0,0,916.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best XGBoost,FN10_FP3,10.0,3.0,3.3333333333333335,0.22,validation,minimum validation expected cost,False,isotonic,2367.0,0.6676798378926039,0.6182281708094327,0.9444985394352483,0.36747624076029567,0.7473035439137135,348,599,57,970,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.3495248152059134,0.7411944869831547,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,331,616,60,968,2448.0,1.239493670886076,0.0,0.0,0.0,0.0,0,1532.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best XGBoost,FN3_FP2,3.0,2.0,1.5,0.305,validation,minimum validation expected cost,False,isotonic,1231.0,0.7152988855116514,0.6690909090909091,0.8958130477117819,0.5195353748680043,0.7660283097418817,492,455,107,920,0.6967088607594937,0.6503153468815698,0.9027237354085603,0.4730728616684266,0.7560081466395112,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,448,499,100,928,1298.0,0.6572151898734178,0.08499999999999999,0.03920423577045862,-0.03891050583657585,0.12354804646251322,-117,382.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best XGBoost,FN2_FP2,2.0,2.0,1.0,0.535,validation,minimum validation expected cost,False,isotonic,1026.0,0.7401215805471124,0.7575150300601202,0.7361246348588121,0.7444561774023232,0.7466666666666666,705,242,271,756,0.7270886075949367,0.7428003972194638,0.7276264591439688,0.7265047518479408,0.7351351351351352,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,688,259,280,748,1078.0,0.5458227848101266,0.31500000000000006,0.13168928610835262,-0.21400778210116733,0.37697993664202745,-357,162.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
