dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
taiwan,Best XGBoost,FN3_FP1,3.0,1.0,3.0,0.29,validation,minimum validation expected cost,False,isotonic,2372.0,0.802,0.5522163786626596,0.5538809344385832,0.87245880590627,0.5530474040632053,4077,596,592,735,0.7973333333333333,0.5415108451757666,0.5455915599095704,0.8688208859405093,0.5435435435435435,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4060,613,603,724,2422.0,0.4036666666666667,0.14999999999999997,0.20596066379729022,-0.2908816880180859,0.3391825379841643,-1585,-861.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best XGBoost,FN5_FP1,5.0,1.0,5.0,0.14,validation,minimum validation expected cost,False,isotonic,3233.0,0.6005,0.33817301875378103,0.8425018839487566,0.5317783008773806,0.48262464925534215,2485,2188,209,1118,0.5975,0.3355501813784764,0.8364732479276563,0.529638347956345,0.4789644012944984,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,2475,2198,217,1110,3283.0,0.5471666666666667,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best XGBoost,FN5_FP2,5.0,2.0,2.5,0.29,validation,minimum validation expected cost,False,isotonic,4152.0,0.802,0.5522163786626596,0.5538809344385832,0.87245880590627,0.5530474040632053,4077,596,592,735,0.7973333333333333,0.5415108451757666,0.5455915599095704,0.8688208859405093,0.5435435435435435,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4060,613,603,724,4241.0,0.7068333333333333,0.14999999999999997,0.20596066379729022,-0.2908816880180859,0.3391825379841643,-1585,958.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best XGBoost,FN5_FP3,5.0,3.0,1.6666666666666667,0.325,validation,minimum validation expected cost,False,isotonic,4706.0,0.8106666666666666,0.5819742489270386,0.5109269027882442,0.8957842927455596,0.5441412520064205,4186,487,649,678,0.8035,0.5629251700680272,0.49886963074604374,0.890006419858763,0.5289652417099481,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4159,514,665,662,4867.0,0.8111666666666667,0.185,0.2273749886895508,-0.3376036171816126,0.36036807190241804,-1684,1584.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best XGBoost,FN10_FP1,10.0,1.0,10.0,0.12,validation,minimum validation expected cost,False,isotonic,4101.0,0.5415,0.3115404976177872,0.8869630746043707,0.44339824523860477,0.4611165523996082,2072,2601,150,1177,0.5403333333333333,0.31076434805606984,0.8854559155990958,0.4423282687780869,0.46006264682850434,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,2067,2606,152,1175,4126.0,0.6876666666666666,-0.020000000000000018,-0.02478583332240658,0.04898266767143944,-0.08731007917825812,408,843.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
taiwan,Best XGBoost,FN10_FP2,10.0,2.0,5.0,0.14,validation,minimum validation expected cost,False,isotonic,6466.0,0.6005,0.33817301875378103,0.8425018839487566,0.5317783008773806,0.48262464925534215,2485,2188,209,1118,0.5975,0.3355501813784764,0.8364732479276563,0.529638347956345,0.4789644012944984,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,2475,2198,217,1110,6566.0,1.0943333333333334,0.0,0.0,0.0,0.0,0,3283.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best XGBoost,FN10_FP3,10.0,3.0,3.3333333333333335,0.21,validation,minimum validation expected cost,False,isotonic,7647.0,0.7595,0.4681668496158068,0.6428033157498116,0.7926385619516371,0.5417592886630676,3704,969,474,853,0.7563333333333333,0.46337493217580034,0.6435568952524491,0.7883586561095656,0.538801261829653,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,3684,989,473,854,7697.0,1.2828333333333333,0.06999999999999998,0.12782475079732392,-0.19291635267520724,0.25872030815322056,-1209,4414.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best XGBoost,FN3_FP2,3.0,2.0,1.5,0.325,validation,minimum validation expected cost,False,isotonic,2921.0,0.8106666666666666,0.5819742489270386,0.5109269027882442,0.8957842927455596,0.5441412520064205,4186,487,649,678,0.8035,0.5629251700680272,0.49886963074604374,0.890006419858763,0.5289652417099481,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4159,514,665,662,3023.0,0.5038333333333334,0.185,0.2273749886895508,-0.3376036171816126,0.36036807190241804,-1684,-260.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best XGBoost,FN2_FP2,2.0,2.0,1.0,0.46,validation,minimum validation expected cost,False,isotonic,2138.0,0.8218333333333333,0.6596534653465347,0.40165787490580257,0.9411512946715173,0.4992974238875878,4398,275,794,533,0.8155,0.6371571072319202,0.3850791258477769,0.93772736999786,0.480037576326914,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4382,291,816,511,2214.0,0.369,0.32,0.3016069258534438,-0.4513941220798794,0.408089022041515,-1907,-1069.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best LightGBM,FN2_FP1,2.0,1.0,2.0,0.315,validation,minimum validation expected cost,False,isotonic,1784.0,0.81,0.5793044953350297,0.5146948003014318,0.8938583351166275,0.5450917797286512,4177,496,644,683,0.7986666666666666,0.5490519373454246,0.5018839487565938,0.8829445752193452,0.5244094488188976,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4126,547,661,666,1869.0,0.3115,0.145,0.17362531618501503,-0.2441597588545592,0.2353948213139312,-1100,-1463.0,More conservative cost ratio; lower FP burden is prioritized.
taiwan,Best LightGBM,FN3_FP1,3.0,1.0,3.0,0.255,validation,minimum validation expected cost,False,isotonic,2402.0,0.7823333333333333,0.5068314899154196,0.5870384325546345,0.8377915685854911,0.5439944134078212,3915,758,548,779,0.7758333333333334,0.4943109987357775,0.5892991710625471,0.828803766317141,0.5376418013062908,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,3873,800,545,782,2435.0,0.4058333333333333,0.08499999999999999,0.11888437757536796,-0.15674453654860587,0.181254012411727,-847,-897.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
