dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
heloc,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.423597706779775,9.48943435785984,923.1727802018987,387.0,0.0,1310.1727802018986,2.0,544.7911592331106,149,387,0,0.0,2.012206265966957,409,0,85,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.874577385567648,10.49164272656046,883.0477931574824,387.0,0.0,1270.0477931574824,2.0,501.1576129537739,149,387,0,0.0,2.3568816923478715,381,6,107,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.359635018469484,5.472556314127521,584.7441146718761,387.0,0.0,971.7441146718761,2.0,234.6897544373768,149,387,0,0.0,1.1582051112460916,402,0,90,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.42382187972331,9.575221552216771,1561.9621372610284,275.0,0.0,1836.9621372610284,3.0,1110.9476739200138,233,275,0,0.0,2.02611771007897,408,0,85,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.799200001627511,10.237007051449464,1580.381300600679,275.0,0.0,1855.381300600679,3.0,1140.070253329851,233,275,0,0.0,2.356228780360407,378,13,100,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.344604376270163,5.46269427289344,977.9686875723414,275.0,0.0,1252.9686875723414,3.0,548.303585449973,233,275,0,0.0,1.1617635141443434,402,3,88,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.423597706779775,9.48943435785984,1599.9839582094564,291.0,0.0,1890.9839582094564,4.0,1125.6023372406685,235,291,0,0.0,2.012206265966957,409,2,84,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.874577385567648,10.49164272656046,1584.0526247061898,291.0,0.0,1875.0526247061898,4.0,1106.1624445024813,235,291,0,0.0,2.3568816923478715,381,13,98,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,SCRE-Pareto ranking threshold 0.50,threshold_only,SCRE-Pareto ranking,0.5,,,,ranking benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.359635018469484,5.472556314127521,989.3073165831291,291.0,0.0,1280.3073165831292,4.0,543.2529563486299,235,291,0,0.0,1.1582051112460916,402,4,86,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.42382187972331,9.575221552216771,1719.302809447841,272.0,0.0,1991.302809447841,6.0,1265.2883461068263,252,272,0,0.0,2.02611771007897,408,0,85,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.799200001627511,10.237007051449464,1767.8721598328545,272.0,0.0,2039.8721598328545,6.0,1324.5611125620267,252,272,0,0.0,2.356228780360407,378,20,95,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.344604376270163,5.46269427289344,1075.434993856139,272.0,0.0,1347.434993856139,6.0,642.7698917337706,252,272,0,0.0,1.1617635141443434,402,8,84,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.423597706779775,9.48943435785984,1698.0498190353928,285.0,0.0,1983.0498190353928,6.0,1217.6681980666049,249,285,0,0.0,2.012206265966957,409,1,84,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.874577385567648,10.49164272656046,1715.22656045965,285.0,0.0,2000.22656045965,6.0,1231.3363802559415,249,285,0,0.0,2.3568816923478715,381,19,95,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,Scorecard benchmark threshold 0.50,threshold_only,scorecard_sigmoid,0.5,,,,benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.359635018469484,5.472556314127521,1056.1552758990085,285.0,0.0,1341.1552758990085,6.0,604.1009156645092,249,285,0,0.0,1.1582051112460916,402,7,85,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.42382187972331,9.575221552216771,1639.9227259119061,275.0,0.0,1914.9227259119061,5.0,1188.9082625708916,242,275,0,0.0,2.02611771007897,408,0,84,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.799200001627511,10.237007051449464,1658.444110733873,275.0,0.0,1933.444110733873,4.0,1218.1330634630451,242,275,0,0.0,2.356228780360407,378,14,98,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.344604376270163,5.46269427289344,1022.6733673291558,275.0,0.0,1297.6733673291558,4.0,593.0082652067873,242,275,0,0.0,1.1617635141443434,402,4,85,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.423597706779775,9.48943435785984,1619.419800022063,288.0,0.0,1907.419800022063,5.0,1142.0381790532751,237,288,0,0.0,2.012206265966957,409,2,84,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.874577385567648,10.49164272656046,1611.4246539566466,288.0,0.0,1899.4246539566466,5.0,1130.534473752938,237,288,0,0.0,2.3568816923478715,381,13,94,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,CatBoost benchmark threshold 0.50,threshold_only,catboost_isotonic,0.5,,,,benchmark,heloc_capped_hybrid,5.0,1.0,0.0,5.359635018469484,5.472556314127521,1001.6688907957418,288.0,0.0,1289.6688907957418,5.0,552.6145305612425,237,288,0,0.0,1.1582051112460916,402,4,84,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
