dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
taiwan,locked_test,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.12661987136002,9.969447509123313,4515.953492319443,0.0,750.0,5265.953492319443,3.0,1737.4455571586186,549,0,1500,0.25,2.3635958584401258,433,136,0,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,Taiwan capacity SCRE top25,top_k_review,SCRE-Optimized ranking,,,,0.25,capacity-aware candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.697532813397957,4.590204189541513,2659.6903422761197,0.0,750.0,3409.6903422761197,3.0,641.1725555012595,549,0,1500,0.25,1.1375029395021086,242,111,0,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.535162401889405,7.038677977490341,6787.088862758273,213.0,0.0,7000.088862758273,5.0,3247.1768436082643,852,213,0,0.0,2.3803544431379136,217,171,22,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.358928013464654,8.288327526132404,6538.605182926829,213.0,0.0,6751.605182926829,6.0,3194.380444250871,852,213,0,0.0,2.346798780487805,301,163,62,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.305185495779373,9.935902878003226,7121.838229051702,213.0,0.0,7334.838229051702,6.0,3967.3518549961796,852,213,0,0.0,2.363379743611512,451,229,100,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.678818083070811,4.575517073053671,3943.138809137021,213.0,0.0,4156.138809137021,5.0,1430.8114575718273,852,213,0,0.0,1.1326635462838694,237,143,40,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_limit_weighted,5.0,1.0,0.0,7.758168291819941,7.138503572929803,7128.247162673392,228.0,0.0,7356.247162673392,7.0,3561.021437578815,859,228,0,0.0,2.362547288776797,265,204,17,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_bill_weighted,5.0,1.0,0.0,8.229495775169841,8.11035624074558,6362.260256075255,228.0,0.0,6590.260256075255,6.0,2949.3970472955316,859,228,0,0.0,2.3468556745928053,312,159,64,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_utilization_weighted,5.0,1.0,0.0,9.12661987136002,9.969447509123313,6937.357209539166,228.0,0.0,7165.357209539166,6.0,3636.8492743783418,859,228,0,0.0,2.3635958584401258,433,220,123,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,threshold_only,SCRE-Optimized ranking,0.5,,,,ranking benchmark,taiwan_capped_hybrid,5.0,1.0,0.0,4.697532813397957,4.590204189541513,3986.601483749729,228.0,0.0,4214.60148374973,6.0,1446.0836969748693,859,228,0,0.0,1.1375029395021086,242,138,43,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
