dataset,split,system,cost_definition,policy_type,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,total_instance_dependent_cost,delta_vs_v2,cost_rank,high_exposure_miss_rate,comment
taiwan,locked_test,SCRE-Optimized ranking threshold 0.50,taiwan_capped_hybrid,threshold_only,242,138,43,859,228,0,0.0,4214.60148374973,1446.0836969748693,6.0,0.5702479338842975,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Pareto ranking threshold 0.50,taiwan_limit_weighted,threshold_only,217,173,21,852,210,0,0.0,7016.705022677641,3263.7930035276327,6.0,0.7972350230414746,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Pareto ranking threshold 0.50,taiwan_bill_weighted,threshold_only,301,162,59,852,210,0,0.0,6749.494773519164,3192.2700348432054,5.0,0.5382059800664452,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Pareto ranking threshold 0.50,taiwan_utilization_weighted,threshold_only,451,229,102,852,210,0,0.0,7334.636641480601,3967.1502674250783,5.0,0.5077605321507761,Not lower than V2 under this exposure definition.
taiwan,validation,SCRE-Pareto ranking threshold 0.50,taiwan_capped_hybrid,threshold_only,237,144,38,852,210,0,0.0,4157.239959239361,1431.9126076741677,6.0,0.6075949367088608,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,taiwan_limit_weighted,threshold_only,265,205,15,858,222,0,0.0,7345.883984867592,3550.6582597730144,5.0,0.7735849056603774,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,taiwan_bill_weighted,threshold_only,312,156,63,858,222,0,0.0,6560.403231425835,2919.5400226461115,5.0,0.5,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,taiwan_utilization_weighted,threshold_only,433,218,121,858,222,0,0.0,7137.24314690656,3608.735211745735,5.0,0.5034642032332564,Not lower than V2 under this exposure definition.
taiwan,locked_test,SCRE-Pareto ranking threshold 0.50,taiwan_capped_hybrid,threshold_only,242,137,42,858,222,0,0.0,4201.457443258685,1432.9396564838248,5.0,0.5661157024793388,Not lower than V2 under this exposure definition.
taiwan,validation,Scorecard benchmark threshold 0.50,taiwan_limit_weighted,threshold_only,217,186,16,881,219,0,0.0,7338.955484629599,3586.0434654795904,8.0,0.8571428571428571,Not lower than V2 under this exposure definition.
taiwan,validation,Scorecard benchmark threshold 0.50,taiwan_bill_weighted,threshold_only,301,175,60,881,219,0,0.0,7084.86781358885,3527.643074912892,8.0,0.5813953488372093,Not lower than V2 under this exposure definition.
taiwan,validation,Scorecard benchmark threshold 0.50,taiwan_utilization_weighted,threshold_only,451,230,108,881,219,0,0.0,7619.595126920791,4252.108752865268,8.0,0.5099778270509978,Not lower than V2 under this exposure definition.
taiwan,validation,Scorecard benchmark threshold 0.50,taiwan_capped_hybrid,threshold_only,237,158,38,881,219,0,0.0,4337.664659643689,1612.3373080784959,8.0,0.6666666666666666,Not lower than V2 under this exposure definition.
taiwan,locked_test,Scorecard benchmark threshold 0.50,taiwan_limit_weighted,threshold_only,265,209,14,857,234,0,0.0,7402.697982345524,3607.4722572509468,8.0,0.7886792452830189,Not lower than V2 under this exposure definition.
taiwan,locked_test,Scorecard benchmark threshold 0.50,taiwan_bill_weighted,threshold_only,312,168,67,857,234,0,0.0,6683.780506924484,3042.917298144761,8.0,0.5384615384615384,Not lower than V2 under this exposure definition.
taiwan,locked_test,Scorecard benchmark threshold 0.50,taiwan_utilization_weighted,threshold_only,433,212,136,857,234,0,0.0,7184.9348213527965,3656.426886191972,7.0,0.4896073903002309,Not lower than V2 under this exposure definition.
taiwan,locked_test,Scorecard benchmark threshold 0.50,taiwan_capped_hybrid,threshold_only,242,150,39,857,234,0,0.0,4243.195697854002,1474.6779110791417,8.0,0.6198347107438017,Not lower than V2 under this exposure definition.
taiwan,validation,CatBoost benchmark threshold 0.50,taiwan_limit_weighted,threshold_only,217,175,22,860,214,0,0.0,7088.896060809675,3335.9840416596667,7.0,0.8064516129032258,Not lower than V2 under this exposure definition.
taiwan,validation,CatBoost benchmark threshold 0.50,taiwan_bill_weighted,threshold_only,301,167,64,860,214,0,0.0,6834.49324912892,3277.268510452962,7.0,0.5548172757475083,Not lower than V2 under this exposure definition.
taiwan,validation,CatBoost benchmark threshold 0.50,taiwan_utilization_weighted,threshold_only,451,233,101,860,214,0,0.0,7417.379955853638,4049.893581798116,7.0,0.516629711751663,Not lower than V2 under this exposure definition.
taiwan,validation,CatBoost benchmark threshold 0.50,taiwan_capped_hybrid,threshold_only,237,148,42,860,214,0,0.0,4203.077861987719,1477.7505104225256,7.0,0.6244725738396625,Not lower than V2 under this exposure definition.
taiwan,locked_test,CatBoost benchmark threshold 0.50,taiwan_limit_weighted,threshold_only,265,203,16,860,226,0,0.0,7354.312316099201,3559.0865910046236,6.0,0.7660377358490567,Not lower than V2 under this exposure definition.
taiwan,locked_test,CatBoost benchmark threshold 0.50,taiwan_bill_weighted,threshold_only,312,161,63,860,226,0,0.0,6608.943558923439,2968.080350143716,7.0,0.5160256410256411,Not lower than V2 under this exposure definition.
taiwan,locked_test,CatBoost benchmark threshold 0.50,taiwan_utilization_weighted,threshold_only,433,221,121,860,226,0,0.0,7187.789230246966,3659.2812950861417,8.0,0.5103926096997691,Not lower than V2 under this exposure definition.
taiwan,locked_test,CatBoost benchmark threshold 0.50,taiwan_capped_hybrid,threshold_only,242,140,41,860,226,0,0.0,4218.251175004528,1449.7333882296675,7.0,0.5785123966942148,Not lower than V2 under this exposure definition.
