dataset,model,case_type,row_id,predicted_probability,threshold,rank,feature_rule,raw_feature,lime_weight,abs_lime_weight,lime_sign,explanation_png,explanation_html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,5,avg_delay > 0.33,avg_delay,0.033285559029006775,0.033285559029006775,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,6,PAY_AMT4 <= 279.00,PAY_AMT4,0.032493708435815526,0.032493708435815526,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,7,PAY_AMT5 <= 233.00,PAY_AMT5,0.031115752932973025,0.031115752932973025,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,8,LIMIT_BAL <= 50000.00,LIMIT_BAL,0.029338622594257777,0.029338622594257777,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,9,bill_volatility <= 1409.46,bill_volatility,0.02784438588037917,0.02784438588037917,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_positive,28747,0.9376229286610618,0.17,10,BILL_AMT1 <= 3455.75,BILL_AMT1,-0.02640832526217359,0.02640832526217359,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_positive_row_28747.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,1,recent_delay <= 0.00,recent_delay,-0.08274953755333511,0.08274953755333511,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,2,delay_count <= 0.00,delay_count,-0.0648924340887072,0.0648924340887072,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,3,LIMIT_BAL > 240000.00,LIMIT_BAL,-0.04898882810048672,0.04898882810048672,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,4,payment_to_bill_ratio > 0.61,payment_to_bill_ratio,-0.034344729921515625,0.034344729921515625,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,5,17992.00 < BILL_AMT5 <= 50007.50,17992.00,-0.028799551603004257,0.028799551603004257,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,6,recent_payment_intensity > 0.50,recent_payment_intensity,0.02609245525484586,0.02609245525484586,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,7,total_pay_amt > 33373.00,total_pay_amt,-0.02527784387407702,0.02527784387407702,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,8,0.03 < utilization_proxy <= 0.28,0.03,-0.022796288974059997,0.022796288974059997,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,9,PAY_AMT4 > 4000.00,PAY_AMT4,0.02275189465944229,0.02275189465944229,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
taiwan,lightgbm,false_negative,982,0.0029760513970156976,0.17,10,avg_delay <= 0.00,avg_delay,-0.019789258771130254,0.019789258771130254,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\false_negative_row_982.html
