fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
2.0,1.0,0.5,1826.0,0.6023391812865497,0.46571213262999245,0.5252868678283042,408,709
2.0,1.0,0.55,1883.0,0.628735632183908,0.41220798794272795,0.4979517523896222,323,780
2.0,1.0,0.35,1885.0,0.4846517119244392,0.6186887716654107,0.5435286329030122,873,506
2.0,1.0,0.6,1932.0,0.6563758389261745,0.36850037678975134,0.472007722007722,256,838
2.0,1.0,0.65,1967.0,0.6867283950617284,0.33534287867370005,0.4506329113924051,203,882
2.0,1.0,0.7,2034.0,0.7153419593345656,0.29163526752072344,0.4143468950749465,154,940
2.0,1.0,0.3,2062.0,0.4292659212445309,0.6654107008289375,0.5218676122931442,1174,444
2.0,1.0,0.75,2148.0,0.7457212713936431,0.22984174830444612,0.3513824884792627,104,1022
2.0,1.0,0.8,2318.0,0.7777777777777778,0.14770158251695553,0.24825839138695377,56,1131
2.0,1.0,0.25,2327.0,0.37462121212121213,0.7452901281085155,0.49861356188555583,1651,338
2.0,1.0,0.85,2510.0,0.8850574712643678,0.058025621703089676,0.10891089108910891,10,1250
2.0,1.0,0.9,2624.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
2.0,1.0,0.95,2654.0,0.0,0.0,0.0,0,1327
2.0,1.0,0.2,2741.0,0.32497839239412274,0.8500376789751318,0.4701959149645686,2343,199
2.0,1.0,0.15,3339.0,0.28092724351618087,0.9223813112283346,0.4306826178747361,3133,103
2.0,1.0,0.1,4053.0,0.24487860394537178,0.972871137905049,0.3912714047582967,3981,36
2.0,1.0,0.05,4602.0,0.22370420395070065,0.9984928409947249,0.36551724137931035,4598,2
3.0,1.0,0.4,2387.0,0.5278940027894002,0.5704596834966089,0.5483520463600144,677,570
3.0,1.0,0.35,2391.0,0.4846517119244392,0.6186887716654107,0.5435286329030122,873,506
3.0,1.0,0.45,2431.0,0.5630048465266559,0.5252449133383572,0.5434697855750488,541,630
3.0,1.0,0.3,2506.0,0.4292659212445309,0.6654107008289375,0.5218676122931442,1174,444
3.0,1.0,0.5,2535.0,0.6023391812865497,0.46571213262999245,0.5252868678283042,408,709
3.0,1.0,0.55,2663.0,0.628735632183908,0.41220798794272795,0.4979517523896222,323,780
3.0,1.0,0.25,2665.0,0.37462121212121213,0.7452901281085155,0.49861356188555583,1651,338
3.0,1.0,0.6,2770.0,0.6563758389261745,0.36850037678975134,0.472007722007722,256,838
3.0,1.0,0.65,2849.0,0.6867283950617284,0.33534287867370005,0.4506329113924051,203,882
3.0,1.0,0.2,2940.0,0.32497839239412274,0.8500376789751318,0.4701959149645686,2343,199
3.0,1.0,0.7,2974.0,0.7153419593345656,0.29163526752072344,0.4143468950749465,154,940
3.0,1.0,0.75,3170.0,0.7457212713936431,0.22984174830444612,0.3513824884792627,104,1022
3.0,1.0,0.15,3442.0,0.28092724351618087,0.9223813112283346,0.4306826178747361,3133,103
3.0,1.0,0.8,3449.0,0.7777777777777778,0.14770158251695553,0.24825839138695377,56,1131
3.0,1.0,0.85,3760.0,0.8850574712643678,0.058025621703089676,0.10891089108910891,10,1250
3.0,1.0,0.9,3935.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
3.0,1.0,0.95,3981.0,0.0,0.0,0.0,0,1327
3.0,1.0,0.1,4089.0,0.24487860394537178,0.972871137905049,0.3912714047582967,3981,36
3.0,1.0,0.05,4604.0,0.22370420395070065,0.9984928409947249,0.36551724137931035,4598,2
5.0,1.0,0.2,3338.0,0.32497839239412274,0.8500376789751318,0.4701959149645686,2343,199
5.0,1.0,0.25,3341.0,0.37462121212121213,0.7452901281085155,0.49861356188555583,1651,338
5.0,1.0,0.3,3394.0,0.4292659212445309,0.6654107008289375,0.5218676122931442,1174,444
5.0,1.0,0.35,3403.0,0.4846517119244392,0.6186887716654107,0.5435286329030122,873,506
5.0,1.0,0.4,3527.0,0.5278940027894002,0.5704596834966089,0.5483520463600144,677,570
5.0,1.0,0.15,3648.0,0.28092724351618087,0.9223813112283346,0.4306826178747361,3133,103
5.0,1.0,0.45,3691.0,0.5630048465266559,0.5252449133383572,0.5434697855750488,541,630
5.0,1.0,0.5,3953.0,0.6023391812865497,0.46571213262999245,0.5252868678283042,408,709
5.0,1.0,0.1,4161.0,0.24487860394537178,0.972871137905049,0.3912714047582967,3981,36
5.0,1.0,0.55,4223.0,0.628735632183908,0.41220798794272795,0.4979517523896222,323,780
5.0,1.0,0.6,4446.0,0.6563758389261745,0.36850037678975134,0.472007722007722,256,838
5.0,1.0,0.05,4608.0,0.22370420395070065,0.9984928409947249,0.36551724137931035,4598,2
5.0,1.0,0.65,4613.0,0.6867283950617284,0.33534287867370005,0.4506329113924051,203,882
5.0,1.0,0.7,4854.0,0.7153419593345656,0.29163526752072344,0.4143468950749465,154,940
5.0,1.0,0.75,5214.0,0.7457212713936431,0.22984174830444612,0.3513824884792627,104,1022
5.0,1.0,0.8,5711.0,0.7777777777777778,0.14770158251695553,0.24825839138695377,56,1131
5.0,1.0,0.85,6260.0,0.8850574712643678,0.058025621703089676,0.10891089108910891,10,1250
5.0,1.0,0.9,6557.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
5.0,1.0,0.95,6635.0,0.0,0.0,0.0,0,1327
10.0,1.0,0.15,4163.0,0.28092724351618087,0.9223813112283346,0.4306826178747361,3133,103
10.0,1.0,0.2,4333.0,0.32497839239412274,0.8500376789751318,0.4701959149645686,2343,199
10.0,1.0,0.1,4341.0,0.24487860394537178,0.972871137905049,0.3912714047582967,3981,36
10.0,1.0,0.05,4618.0,0.22370420395070065,0.9984928409947249,0.36551724137931035,4598,2
10.0,1.0,0.25,5031.0,0.37462121212121213,0.7452901281085155,0.49861356188555583,1651,338
10.0,1.0,0.3,5614.0,0.4292659212445309,0.6654107008289375,0.5218676122931442,1174,444
10.0,1.0,0.35,5933.0,0.4846517119244392,0.6186887716654107,0.5435286329030122,873,506
10.0,1.0,0.4,6377.0,0.5278940027894002,0.5704596834966089,0.5483520463600144,677,570
10.0,1.0,0.45,6841.0,0.5630048465266559,0.5252449133383572,0.5434697855750488,541,630
10.0,1.0,0.5,7498.0,0.6023391812865497,0.46571213262999245,0.5252868678283042,408,709
10.0,1.0,0.55,8123.0,0.628735632183908,0.41220798794272795,0.4979517523896222,323,780
10.0,1.0,0.6,8636.0,0.6563758389261745,0.36850037678975134,0.472007722007722,256,838
10.0,1.0,0.65,9023.0,0.6867283950617284,0.33534287867370005,0.4506329113924051,203,882
10.0,1.0,0.7,9554.0,0.7153419593345656,0.29163526752072344,0.4143468950749465,154,940
10.0,1.0,0.75,10324.0,0.7457212713936431,0.22984174830444612,0.3513824884792627,104,1022
10.0,1.0,0.8,11366.0,0.7777777777777778,0.14770158251695553,0.24825839138695377,56,1131
10.0,1.0,0.85,12510.0,0.8850574712643678,0.058025621703089676,0.10891089108910891,10,1250
10.0,1.0,0.9,13112.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
10.0,1.0,0.95,13270.0,0.0,0.0,0.0,0,1327
