dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
heloc,decision_tree,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1582.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.7193515704154002,0.7216494845360825,0.7497565725413826,0.7354345749761223,0.6863780359028511,0.7173677185838568,0.788268493032371,0.776422640103308,0.18810978872942066,0.038579671557850616,1.149941987424344,0.015298832903967203,650,297,257,770,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\decision_tree_sigmoid.joblib
heloc,majority_baseline,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,947.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.5202634245187436,0.5202634245187436,1.0,0.6844385204931689,0.0,0.0,0.5,0.5202634245187436,0.24958939362678007,8.300417064788235e-08,0.00653372394698565,0.08056599851947516,0,947,0,1027,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\majority_baseline_sigmoid.joblib
heloc,optuna_best_xgboost,phase8_hyperparameter_optimization,tuned_boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1492.0,"Best Phase 8 Optuna model for heloc; trial=27, objective=PR-AUC.",0.5,0.7365754812563323,0.7389255419415646,0.7633885102239533,0.7509578544061303,0.7074973600844773,0.73491180130834,0.8037650799069269,0.7967795364888599,0.1800313276263949,0.023595773778183966,0.9805000874879906,0.02732895285912084,670,277,243,784,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\optuna_best_xgboost_uncalibrated.joblib
heloc,catboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1488.0,,0.5,0.7345491388044579,0.735266604303087,0.7653359298928919,0.75,0.7011615628299894,0.7325463375743839,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,0.9453329076718113,0.0188092124492202,664,283,241,786,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_uncalibrated.joblib
heloc,woe_scorecard_logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1625.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.732016210739615,0.7470238095238095,0.7332035053554041,0.74004914004914,0.7307286166842661,0.7319650150221726,0.8044025668101698,0.7944346261731565,0.18047270093411144,0.02530757459608493,0.990102542482052,0.09258280518381685,692,255,274,753,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_uncalibrated.joblib
heloc,logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1556.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.7365754812563323,0.7463556851311953,0.747809152872444,0.7470817120622568,0.7243928194297783,0.7360078672437298,0.8024119625445598,0.7992261331225465,0.1811920896529227,0.024714063195416018,0.9786304541800404,0.03723561326320525,686,261,259,768,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\logistic_regression_uncalibrated.joblib
heloc,class_weighted_logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1636.0,Logistic Regression with class_weight='balanced'.,0.5,0.7345491388044579,0.7527638190954774,0.7293086660175268,0.7408506429277942,0.7402323125659979,0.734750189125921,0.8024006522930508,0.7993680911113991,0.1816631556954084,0.025873003169238885,0.9799490493050476,0.11573181582851837,701,246,278,749,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_logistic_regression_uncalibrated.joblib
heloc,random_forest,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1448.0,Random Forest baseline without hyperparameter tuning.,0.5,0.7365754812563323,0.7340720221606648,0.7740993184031159,0.7535545023696683,0.6958817317845829,0.7339492995184514,0.7992276126423935,0.7920098559327563,0.18248499189884346,0.043642390378525034,1.1065466706424099,0.021335731561413208,659,288,232,795,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\random_forest_uncalibrated.joblib
heloc,monotonic_xgboost,phase7_model_pool,monotonic,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,True,1507.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.7330293819655522,0.7349624060150376,0.7614410905550146,0.7479674796747967,0.7022175290390708,0.7312299782683678,0.7977356876478687,0.7962919026996237,0.18371605605590163,0.03295683997410531,0.8257141988577927,0.02098537878087202,665,282,245,782,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_xgboost_uncalibrated.joblib
heloc,xgboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1566.0,,0.5,0.723404255319149,0.7262464722483537,0.7517039922103214,0.738755980861244,0.6927138331573389,0.7216063704289799,0.7948238119866046,0.7923832375357371,0.18493012303962922,0.029019124564368438,0.8566617157277209,0.02383576708165591,656,291,255,772,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\xgboost_uncalibrated.joblib
heloc,smotenc_xgboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,SMOTENC train split only,False,1609.0,,0.5,0.7239108409321175,0.7317307692307692,0.7409931840311588,0.7363328495403967,0.7053854276663146,0.7229701197253197,0.794998606782655,0.790415739664049,0.1849488588590492,0.029299365954800094,0.8479535906014386,0.051609278602609936,668,279,266,761,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\smotenc_xgboost_uncalibrated.joblib
heloc,decision_tree,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1532.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.7223910840932117,0.7211449676823638,0.7604673807205453,0.7402843601895734,0.6810982048574445,0.7196894940607416,0.7840389730702912,0.7673994865049253,0.18897977644467545,0.029091061836190077,0.9007402694601231,0.006096598778554974,645,302,246,781,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\decision_tree_uncalibrated.joblib
heloc,monotonic_lightgbm,phase7_model_pool,monotonic,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,True,1589.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.7239108409321175,0.7295238095238096,0.7458617332035054,0.7376023110255175,0.7001055966209081,0.7226215978789623,0.7872294922005534,0.7845560425031672,0.19124566871225676,0.0585561387064553,0.6618269462948195,0.040984181868811136,663,284,261,766,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_lightgbm_uncalibrated.joblib
heloc,lightgbm,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1631.0,,0.5,0.7168186423505573,0.7228571428571429,0.73904576436222,0.7308618199325951,0.6927138331573389,0.7155048737150914,0.7799312953631055,0.7758992996460374,0.19562890038568537,0.06900536295981208,0.6386224002867011,0.014682015277916776,656,291,268,759,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\lightgbm_uncalibrated.joblib
heloc,class_weighted_lightgbm,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,1716.0,,0.5,0.7122593718338399,0.7247796278158668,0.7205452775073028,0.72265625,0.7032734952481521,0.7118570051612265,0.7799169004975482,0.7743617292651964,0.19575682639860845,0.07162298657459734,0.6443558654663979,0.06330090482237996,666,281,287,740,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_lightgbm_uncalibrated.joblib
heloc,majority_baseline,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,5922,1974,1975,False,0,none,False,947.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.5202634245187436,0.5202634245187436,1.0,0.6844385204931689,0.0,0.0,0.5,0.5202634245187436,0.4797365754812563,0.47973657548125637,0.005839396032107937,0.00042266960966011176,0,947,0,1027,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\majority_baseline_uncalibrated.joblib
