t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.25,0.4,2286.5,2735,939,1126,0.5697916666666667,0.195625,0.23458333333333334,257,532,2478,594,211,728,0.5275310834813499,0.559322033898305,0.7580037664783428,0.804375,True,True,True
0.25,0.85,2305.0,2735,2008,57,0.5697916666666667,0.41833333333333333,0.011875,257,16,2478,41,764,1244,0.7192982456140351,0.038606403013182675,0.7580037664783428,0.5816666666666667,True,True,True
0.25,0.9,2315.0,2735,2060,5,0.5697916666666667,0.42916666666666664,0.0010416666666666667,257,0,2478,5,800,1260,1.0,0.004708097928436911,0.7580037664783428,0.5708333333333333,True,True,True
0.25,0.95,2317.5,2735,2065,0,0.5697916666666667,0.43020833333333336,0.0,257,0,2478,0,805,1260,0.0,0.0,0.7580037664783428,0.5697916666666667,True,True,True
0.25,0.35,2337.0,2735,724,1341,0.5697916666666667,0.15083333333333335,0.279375,257,690,2478,651,154,570,0.4854586129753915,0.6129943502824858,0.7580037664783428,0.8491666666666666,True,True,True
0.2,0.25,2368.5,2088,647,2065,0.435,0.13479166666666667,0.43020833333333336,157,1260,1931,805,100,547,0.3898305084745763,0.7580037664783428,0.852165725047081,0.8652083333333334,True,True,True
0.15,0.25,2410.5,1374,1361,2065,0.28625,0.2835416666666667,0.43020833333333336,94,1260,1280,805,163,1198,0.3898305084745763,0.7580037664783428,0.911487758945386,0.7164583333333333,True,True,True
0.25,0.3,2419.0,2735,446,1619,0.5697916666666667,0.09291666666666666,0.33729166666666666,257,911,2478,708,97,349,0.43730697961704756,0.6666666666666666,0.7580037664783428,0.9070833333333334,True,True,True
0.1,0.25,2483.5,668,2067,2065,0.13916666666666666,0.430625,0.43020833333333336,38,1260,630,805,219,1848,0.3898305084745763,0.7580037664783428,0.9642184557438794,0.569375,True,True,True
0.15,0.2,2634.0,1374,714,2712,0.28625,0.14875,0.565,94,1807,1280,905,63,651,0.33370206489675514,0.852165725047081,0.911487758945386,0.85125,True,True,True
0.1,0.2,2707.0,668,1420,2712,0.13916666666666666,0.29583333333333334,0.565,38,1807,630,905,119,1301,0.33370206489675514,0.852165725047081,0.9642184557438794,0.7041666666666667,True,True,True
0.05,0.2,2835.5,81,2007,2712,0.016875,0.418125,0.565,5,1807,76,905,152,1855,0.33370206489675514,0.852165725047081,0.995291902071563,0.581875,True,True,True
0.1,0.15,3001.0,668,706,3426,0.13916666666666666,0.14708333333333334,0.71375,38,2458,630,968,56,650,0.2825452422650321,0.911487758945386,0.9642184557438794,0.8529166666666667,True,True,True
0.05,0.15,3129.5,81,1293,3426,0.016875,0.269375,0.71375,5,2458,76,968,89,1204,0.2825452422650321,0.911487758945386,0.995291902071563,0.730625,True,True,True
0.05,0.1,3426.5,81,587,4132,0.016875,0.12229166666666667,0.8608333333333333,5,3108,76,1024,33,554,0.24782187802516942,0.9642184557438794,0.995291902071563,0.8777083333333333,True,True,True
