dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight
taiwan,taiwan_pr_auc_optuna,14,COMPLETE,mean_cv_pr_auc,0.563871677102331,5,3,15,0.563871677102331,0.7846051965940635,0.6316752100107395,0.1742122928814666,2030.1333333333334,293.3333333333333,563.4666666666667,503.06666666666666,2240.133333333333,0.011767749729519387,lightgbm,450,0.02006946055241164,82,5,64,0.908298185869279,0.7989135045353878,0.004061617497321563,0.004072014512469717,balanced
taiwan,taiwan_pr_auc_optuna,15,COMPLETE,mean_cv_pr_auc,0.5603040906215614,5,3,15,0.5603040906215614,0.781450121782905,0.6107490610728254,0.17055854260533637,2071.6,310.0,521.6,486.4,2282.0,0.01223378014498824,lightgbm,400,0.016124937997634658,62,6,10,0.9542803662732469,0.9049085363667999,0.0033987001736404503,0.005404572590809408,balanced
taiwan,taiwan_pr_auc_optuna,16,COMPLETE,mean_cv_pr_auc,0.5567493049666592,5,3,15,0.5567493049666592,0.7804508799074532,0.632595642369102,0.17369212655557567,2039.8,292.6,576.8,503.8,2226.8,0.012995385478790885,lightgbm,550,0.04551550443996615,86,4,89,0.8703743716530045,0.7033674246094479,0.002816574722285798,0.0012389603927161722,balanced
taiwan,taiwan_pr_auc_optuna,17,COMPLETE,mean_cv_pr_auc,0.5641333350653237,5,3,15,0.5641333350653237,0.7865028832859015,0.6398793423411496,0.17732946921253226,2011.6,286.8,577.6,509.6,2226.0,0.01242786960040926,lightgbm,400,0.014992819658965555,74,4,60,0.9362705579719851,0.7888889607336366,0.028733813708015078,0.008054842271117328,balanced
taiwan,taiwan_pr_auc_optuna,18,COMPLETE,mean_cv_pr_auc,0.5573449076434578,5,3,15,0.5573449076434578,0.780899406114574,0.6284950473824581,0.17426244169213156,2046.4666666666667,295.8666666666667,567.1333333333333,500.53333333333336,2236.4666666666667,0.011062264653030075,lightgbm,500,0.020967453626165772,49,6,139,0.9909877297867327,0.8610573138770843,1.5212196370638048e-06,0.06287720824038975,balanced
taiwan,taiwan_pr_auc_optuna,19,COMPLETE,mean_cv_pr_auc,0.5632869607220506,5,3,15,0.5632869607220506,0.786170433619132,0.6370328219936991,0.175546518895145,2020.8,289.06666666666666,575.4666666666667,507.3333333333333,2228.133333333333,0.011415820700221409,lightgbm,350,0.028491226355714237,89,4,41,0.8695208417606631,0.7707322258101168,0.0007586486238553925,0.009836923003465187,balanced
taiwan,taiwan_pr_auc_optuna,20,COMPLETE,mean_cv_pr_auc,0.5634539504660547,5,3,15,0.5634539504660547,0.785787160417834,0.6330142977539307,0.1748441913420615,2025.2666666666667,292.26666666666665,563.9333333333333,504.1333333333333,2239.6666666666665,0.012370450412682296,lightgbm,550,0.013595616619558493,63,5,68,0.7970883690356789,0.7153267362368871,1.0362657579539434,0.0032320005897505813,balanced
taiwan,taiwan_pr_auc_optuna,21,COMPLETE,mean_cv_pr_auc,0.5643768690173351,5,3,15,0.5643768690173351,0.7866861782032148,0.6411343627379894,0.17702199092160292,2007.5333333333333,285.8,578.5333333333333,510.6,2225.0666666666666,0.012576874353342102,lightgbm,400,0.016118647995452737,75,4,49,0.9449232581417265,0.786680333917782,0.02140755903884785,0.007687858325851813,balanced
taiwan,taiwan_pr_auc_optuna,22,COMPLETE,mean_cv_pr_auc,0.563160885527148,5,3,15,0.563160885527148,0.7871074100618555,0.6459054998959667,0.17833557873950537,2000.3333333333333,282.0,590.3333333333334,514.4,2213.266666666667,0.014055690221405804,lightgbm,350,0.02007042136128837,75,3,20,0.9128808878438445,0.7678225663736662,0.016636789864359486,0.001058821493024958,balanced
taiwan,taiwan_pr_auc_optuna,23,COMPLETE,mean_cv_pr_auc,0.5641818368610688,5,3,15,0.5641818368610688,0.786550444695486,0.6391249429918309,0.1774004230882414,2014.1333333333334,287.4,577.1333333333333,509.0,2226.4666666666667,0.011683331138729549,lightgbm,450,0.012188779821053682,86,4,45,0.963578130556966,0.8261238035502704,0.01194047280793565,0.003073039071702043,balanced
