dataset,stability_scope,model_family,seed_a,seed_b,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,kendalls_w,top5_overlap_count,top5_overlap_rate,top10_overlap_count,top10_overlap_rate
taiwan,ablation_full_features,lightgbm,758081,858560,0.9839654640764722,1.3849939428478138e-34,0.918840579710145,2.172193706278255e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,758081,887876,0.993709528214616,1.7537162992521793e-43,0.943961352657005,2.2368692455555532e-20,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,758081,893119,0.9795251310514955,2.867742317372746e-32,0.9014492753623189,1.0119148195416758e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,758081,926740,0.9839654640764722,1.3849939428478138e-34,0.9111111111111112,4.31952101818562e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,758081,970694,0.9653407338883748,2.6548316562529957e-27,0.8666666666666667,2.0148789910237746e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,758081,975585,0.9769349367869257,3.8394172778793574e-31,0.8937198067632851,1.9867392397024148e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,761112,773919,0.9814986123959297,3.146702681146108e-33,0.897584541062802,1.4188945852110538e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,761112,778383,0.9715078630897316,3.7954008095428785e-29,0.897584541062802,1.4188945852110538e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,761112,781548,0.9761948812827629,7.633920179099768e-31,0.8995169082125605,1.1984611966222292e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,761112,786037,0.9813752698119026,3.6374599501542966e-33,0.8956521739130435,1.6792773346176676e-18,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,761112,822743,0.9770582793709527,3.416476942269212e-31,0.8801932367149758,6.382087671072473e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,761112,827621,0.9921060746222632,2.5489305959692263e-41,0.9342995169082127,5.400512103795169e-20,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,761112,839722,0.9790317607153869,4.8179885133517966e-32,0.9053140096618358,7.206465044850914e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,761112,858280,0.9792784458834412,3.722889098242183e-32,0.9091787439613527,5.124896003508296e-19,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,761112,858560,0.9843354918285538,8.317672808485606e-35,0.9111111111111112,4.31952101818562e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,761112,887876,0.9850755473327165,2.8896748591024557e-35,0.9169082125603866,2.580855576540007e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,761112,893119,0.9700277520814061,1.1391690670914687e-28,0.8705314009661838,1.4533310642857802e-17,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,761112,926740,0.9819919827320381,1.744942226914469e-33,0.8995169082125605,1.1984611966222292e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,761112,970694,0.9720012334258402,2.5974264153412544e-29,0.8937198067632851,1.9867392397024148e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,761112,975585,0.9791551032994141,4.2368219420583823e-32,0.9053140096618358,7.206465044850914e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,773919,778383,0.9583102065988282,1.4369835981002364e-25,0.8454106280193238,1.1847401611884406e-16,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,773919,781548,0.9752081406105458,1.8469173518281695e-30,0.8859903381642513,3.878611469459177e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,773919,786037,0.9839654640764722,1.3849939428478138e-34,0.897584541062802,1.4188945852110538e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,773919,822743,0.9774283071230341,2.3979976808850936e-31,0.8743961352657006,1.0468034513765422e-17,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,773919,827621,0.9858156028368793,9.509836886397114e-36,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,773919,839722,0.9676842429848905,5.827846875429921e-28,0.8608695652173914,3.2803683129676725e-17,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,773919,858280,0.9757015109466544,1.1928002798139351e-30,0.8840579710144929,4.580633833051917e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,773919,858560,0.9829787234042553,5.10149031560905e-34,0.9014492753623189,1.0119148195416758e-18,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,773919,887876,0.9863089731729879,4.386235986508511e-36,0.9111111111111112,4.31952101818562e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,773919,893119,0.971877890841813,2.8575642175085427e-29,0.8724637681159422,1.2336493381504985e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,773919,926740,0.9861856305889607,5.336315953298426e-36,0.9169082125603866,2.580855576540007e-19,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,773919,970694,0.972741288930003,1.4516901736334852e-29,0.8840579710144929,4.580633833051917e-18,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,773919,975585,0.9774283071230341,2.3979976808850936e-31,0.8917874396135267,2.3496624074706835e-18,0.978693999383287,4,0.8,7,0.7
taiwan,ablation_full_features,lightgbm,778383,781548,0.9806352143077397,8.508270610191042e-33,0.897584541062802,1.4188945852110538e-18,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,778383,786037,0.9659574468085106,1.7998275726634093e-27,0.8628019323671499,2.7894491421604266e-17,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,778383,822743,0.9600370027752081,5.767008821716908e-26,0.8743961352657006,1.0468034513765422e-17,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,778383,827621,0.9680542707369719,4.54059455458801e-28,0.8898550724637682,2.7778975910800926e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,778383,839722,0.9858156028368793,9.509836886397114e-36,0.9111111111111112,4.31952101818562e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,778383,858280,0.9840888066604995,1.170064304100136e-34,0.9033816425120774,8.541026338023884e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,778383,858560,0.9686709836571077,2.975701544560714e-28,0.8743961352657006,1.0468034513765422e-17,0.978693999383287,5,1.0,8,0.8
