dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
taiwan,decision_tree,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4451.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.8188333333333333,0.6639344262295082,0.36623963828183875,0.4720738222438077,0.9473571581425209,0.5890328878100336,0.7727168419777809,0.5426305682512862,0.13641061302066607,0.020361487179683186,1.0328810924833445,0.060120826377544484,4427,246,841,486,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\decision_tree_sigmoid.joblib
taiwan,woe_scorecard_logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4624.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.8166666666666667,0.6706766917293233,0.3360964581763376,0.44779116465863456,0.9531350310293174,0.5659905547734407,0.773011952290177,0.5346981698877251,0.13649240716987363,0.01110839755489225,0.9914601275850146,0.01127256937857482,4454,219,881,446,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\woe_scorecard_logistic_regression_sigmoid.joblib
taiwan,logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4540.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.8186666666666667,0.6734397677793904,0.3496608892238131,0.4603174603174603,0.9518510592766959,0.5769099477347551,0.7692168820515037,0.5344699543950054,0.13676825939544113,0.01174910958016724,1.0016894776884822,0.024147244215525658,4448,225,863,464,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\logistic_regression_sigmoid.joblib
taiwan,class_weighted_logistic_regression,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4546.0,Logistic Regression with class_weight='balanced'.,0.5,0.8183333333333334,0.6719883889695211,0.34890730972117556,0.4593253968253968,0.9516370639845924,0.576223158008963,0.7691504419155981,0.5331199948872792,0.13683553041612595,0.0130548127505712,1.0054357320551832,0.02784098948644877,4447,226,864,463,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_logistic_regression_sigmoid.joblib
taiwan,majority_baseline,phase6_baseline,baseline,sigmoid,sigmoid_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,6635.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.7788333333333334,0.0,0.0,0.0,1.0,0.0,0.5,0.22116666666666668,0.17225197532859463,5.573484015469754e-05,0.613270977907243,-0.4872810626691406,4673,0,1327,0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\majority_baseline_sigmoid.joblib
taiwan,xgboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4392.0,,0.5,0.8226666666666667,0.6808803301237965,0.3730218538055765,0.4819863680623174,0.9503530922319708,0.5954011019759972,0.7881161979922501,0.5628599438263847,0.1330953834197962,0.006847216164072351,0.9588913335125454,-0.021717425949554538,4441,232,832,495,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_uncalibrated.joblib
taiwan,optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4405.0,"Best Phase 8 Optuna model for taiwan; trial=52, objective=PR-AUC.",0.5,0.8218333333333333,0.6771978021978022,0.3715146948003014,0.47980535279805353,0.9497111063556601,0.5939963230746296,0.7859592318810734,0.5624168294234547,0.13331062968759008,0.007844546829102393,1.009056984387335,0.03372136519338201,4438,235,834,493,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_uncalibrated.joblib
taiwan,catboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4413.0,,0.5,0.8225,0.6824512534818942,0.36925395629238883,0.4792176039119804,0.9512090734003852,0.5926531140678412,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,0.9908540267666578,0.01356819018030262,4445,228,837,490,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_uncalibrated.joblib
taiwan,monotonic_xgboost,phase7_model_pool,monotonic,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,True,4400.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.822,0.6776406035665294,0.37226827430293896,0.4805447470817121,0.9497111063556601,0.59459844823995,0.7874232531767495,0.5589872672187843,0.13340275916161048,0.009495804830143846,0.9531711187420991,-0.025837476532831912,4438,235,833,494,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_uncalibrated.joblib
taiwan,random_forest,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4477.0,Random Forest baseline without hyperparameter tuning.,0.5,0.8198333333333333,0.6732394366197183,0.3602110022607385,0.4693176239567992,0.9503530922319708,0.5850877197946222,0.7878106862508105,0.5596154377394001,0.13345097190895153,0.00515969468486169,1.0181053340903519,0.03214198062040251,4441,232,849,478,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_uncalibrated.joblib
taiwan,monotonic_lightgbm,phase7_model_pool,monotonic,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,True,4431.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.8201666666666667,0.6698630136986301,0.36850037678975134,0.47544968400583376,0.9484271346030387,0.591181661132045,0.7810839450153046,0.5531647196394793,0.1345808345010571,0.020665621210032292,0.8393969391574014,-0.10914504946379858,4432,241,838,489,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_lightgbm_uncalibrated.joblib
taiwan,lightgbm,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4455.0,,0.5,0.8201666666666667,0.6727019498607242,0.36397889977392617,0.47237163814180927,0.9497111063556601,0.5879411565747131,0.7792991726751718,0.5485001513418932,0.13528341109516226,0.021855893682164854,0.8250494509464222,-0.12586059331784394,4438,235,844,483,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\lightgbm_uncalibrated.joblib
taiwan,logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4513.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.8191666666666667,0.673352435530086,0.3541823662396383,0.4641975308641975,0.9512090734003852,0.5804321497001714,0.7691973692931431,0.5343486337954402,0.13674904394774118,0.013010624725509163,0.9784939608125698,-0.002209895604761189,4445,228,857,470,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\logistic_regression_uncalibrated.joblib
taiwan,decision_tree,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,4304.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.82,0.6553459119496855,0.39261492087415223,0.49104618284637136,0.9413652899636208,0.6079424798718546,0.7663007728826198,0.5162583594947082,0.1369934850233982,0.01277660002800497,0.9285229000991478,-0.062316616009155425,4399,274,806,521,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\decision_tree_uncalibrated.joblib
taiwan,smotenc_xgboost,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,SMOTENC train split only,False,4032.0,,0.5,0.81,0.5915768854064642,0.45516201959306707,0.514480408858603,0.9107639631928097,0.6438518190231546,0.775414601767985,0.5400859868446256,0.1443501387189805,0.08106379040454825,1.00003108191908,-0.5319651143919834,4256,417,723,604,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\smotenc_xgboost_uncalibrated.joblib
taiwan,class_weighted_lightgbm,phase7_model_pool,boosting,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,3536.0,,0.5,0.7713333333333333,0.48608534322820035,0.5923134890730972,0.5339673913043478,0.8221699122619303,0.6978411920650616,0.7777058995131647,0.5477820760787786,0.1636267838267379,0.14280016444107477,0.8026193021982967,-0.9835638169541786,3842,831,541,786,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_lightgbm_uncalibrated.joblib
taiwan,woe_scorecard_logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,3492.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.7566666666666667,0.4624505928853755,0.6171816126601356,0.5287282117495158,0.7962764819173979,0.701032954455865,0.7725775918385712,0.5336702777369271,0.18222029328635503,0.20688443549586927,0.9437219057561312,-1.2316895171010442,3721,952,508,819,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\woe_scorecard_logistic_regression_uncalibrated.joblib
taiwan,class_weighted_logistic_regression,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,3572.0,Logistic Regression with class_weight='balanced'.,0.5,0.7546666666666667,0.4585477415666095,0.6043707611152976,0.5214564369310793,0.7973464583779157,0.6941850516414538,0.7690515880240687,0.5329233350642868,0.1839469898243044,0.20945821698876066,0.9717867038173252,-1.23257355271684,3726,947,525,802,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_logistic_regression_uncalibrated.joblib
taiwan,majority_baseline,phase6_baseline,baseline,uncalibrated,uncalibrated_train_fit,validation,18000,6000,6000,False,0,none,False,6635.0,Most-frequent-class dummy baseline fit on the train split.,0.5,0.7788333333333334,0.0,0.0,0.0,1.0,0.0,0.5,0.22116666666666668,0.22116666666666668,0.22116666666666668,0.09064440132757108,-0.006561061027100068,4673,0,1327,0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\majority_baseline_uncalibrated.joblib
