t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.15,0.55,622.5,177,651,752,0.1120253164556962,0.4120253164556962,0.4759493670886076,24,177,153,575,223,428,0.7646276595744681,0.6995133819951338,0.9708029197080292,0.5879746835443038,True,True,True
0.15,0.45,623.5,177,519,884,0.1120253164556962,0.3284810126582278,0.5594936708860759,24,244,153,640,158,361,0.7239819004524887,0.7785888077858881,0.9708029197080292,0.6715189873417722,True,True,True
0.15,0.5,623.5,177,583,820,0.1120253164556962,0.3689873417721519,0.5189873417721519,24,212,153,608,190,393,0.7414634146341463,0.7396593673965937,0.9708029197080292,0.6310126582278481,True,True,True
0.05,0.25,624.0,0,402,1178,0.0,0.25443037974683547,0.7455696202531645,0,423,0,755,67,335,0.6409168081494058,0.9184914841849149,1.0,0.7455696202531645,True,True,True
0.15,0.4,625.5,177,461,942,0.1120253164556962,0.2917721518987342,0.5962025316455696,24,275,153,667,131,330,0.7080679405520169,0.8114355231143552,0.9708029197080292,0.7082278481012658,True,True,True
0.15,0.35,631.5,177,401,1002,0.1120253164556962,0.2537974683544304,0.6341772151898735,24,311,153,691,107,294,0.689620758483034,0.8406326034063261,0.9708029197080292,0.7462025316455696,True,True,True
0.15,0.3,636.0,177,318,1085,0.1120253164556962,0.20126582278481012,0.6867088607594937,24,357,153,728,70,248,0.6709677419354839,0.8856447688564477,0.9708029197080292,0.7987341772151899,True,True,True
0.1,0.2,651.0,50,250,1280,0.03164556962025317,0.15822784810126583,0.810126582278481,4,506,46,774,44,206,0.6046875,0.9416058394160584,0.9951338199513382,0.8417721518987342,True,True,True
0.15,0.25,655.5,177,225,1178,0.1120253164556962,0.14240506329113925,0.7455696202531645,24,423,153,755,43,182,0.6409168081494058,0.9184914841849149,0.9708029197080292,0.8575949367088608,True,True,True
0.05,0.2,656.0,0,300,1280,0.0,0.189873417721519,0.810126582278481,0,506,0,774,48,252,0.6046875,0.9416058394160584,1.0,0.810126582278481,True,True,True
0.2,0.55,681.0,300,528,752,0.189873417721519,0.3341772151898734,0.4759493670886076,48,177,252,575,199,329,0.7646276595744681,0.6995133819951338,0.9416058394160584,0.6658227848101266,True,True,True
0.2,0.45,682.0,300,396,884,0.189873417721519,0.25063291139240507,0.5594936708860759,48,244,252,640,134,262,0.7239819004524887,0.7785888077858881,0.9416058394160584,0.7493670886075949,True,True,True
0.2,0.5,682.0,300,460,820,0.189873417721519,0.2911392405063291,0.5189873417721519,48,212,252,608,166,294,0.7414634146341463,0.7396593673965937,0.9416058394160584,0.7088607594936709,True,True,True
