dataset,stability_scope,model_family,feature,raw_feature,mean_rank,median_rank,rank_std,min_rank,max_rank,top5_count,top5_frequency,top10_count,top10_frequency,mean_abs_shap
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT1,BILL_AMT1,3.0,3.0,0.0,3,3,50,1.0,50,1.0,0.1586520352400846
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT2,PAY_AMT2,4.0,4.0,0.0,4,4,50,1.0,50,1.0,0.13607549759224405
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT1,PAY_AMT1,5.02,5.0,0.13999999999999999,5,6,49,0.98,50,1.0,0.12086239220273591
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT3,PAY_AMT3,6.26,6.0,0.4386342439892262,6,7,0,0.0,50,1.0,0.09845878359284621
taiwan,ablation_without_engineered_features,lightgbm,PAY_2,PAY_2,6.94,7.0,0.7851114570556209,5,9,1,0.02,50,1.0,0.08928651962035244
taiwan,ablation_without_engineered_features,lightgbm,PAY_3,PAY_3,7.82,8.0,0.38418745424597095,7,8,0,0.0,50,1.0,0.0761689019684
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT6,PAY_AMT6,9.54,9.0,0.8534635317340747,8,12,0,0.0,43,0.86,0.06545572083561935
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT4,PAY_AMT4,10.52,10.0,0.964157663455516,9,13,0,0.0,26,0.52,0.06258896861732693
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT4,BILL_AMT4,11.3,11.5,1.445683229480096,8,15,0,0.0,15,0.3,0.06043050808722327
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT6,BILL_AMT6,11.54,11.0,1.564736399525492,9,15,0,0.0,12,0.24,0.06001910562732769
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT3,BILL_AMT3,13.28,13.0,1.9394844675841052,10,19,0,0.0,4,0.08,0.05517525876512595
taiwan,ablation_without_engineered_features,lightgbm,PAY_6,PAY_6,14.14,14.0,1.000199980003999,11,16,0,0.0,0,0.0,0.05302443873082672
taiwan,ablation_without_engineered_features,lightgbm,PAY_5,PAY_5,14.22,14.0,1.0824047302187845,13,17,0,0.0,0,0.0,0.05290539843839065
taiwan,ablation_without_engineered_features,lightgbm,PAY_AMT5,PAY_AMT5,16.78,17.0,1.3607350954539243,13,19,0,0.0,0,0.0,0.04768058681948064
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT5,BILL_AMT5,17.18,17.0,1.423938200906205,13,19,0,0.0,0,0.0,0.04702207941249993
taiwan,ablation_without_engineered_features,lightgbm,PAY_4,PAY_4,17.22,17.0,1.0824047302187847,14,19,0,0.0,0,0.0,0.04702309679347962
taiwan,ablation_without_engineered_features,lightgbm,BILL_AMT2,BILL_AMT2,18.28,19.0,1.1142710621747294,15,20,0,0.0,0,0.0,0.04451255148466909
taiwan,ablation_without_engineered_features,lightgbm,AGE,AGE,19.96,20.0,0.19595917942265423,19,20,0,0.0,0,0.0,0.03880278969922926
taiwan,ablation_without_engineered_features,lightgbm,EDUCATION_4,EDUCATION,21.78,22.0,0.6720119046564578,21,23,0,0.0,0,0.0,0.029023291884367905
taiwan,ablation_without_engineered_features,lightgbm,EDUCATION_2,EDUCATION,21.92,22.0,0.9346657156438337,21,24,0,0.0,0,0.0,0.029210935988839372
taiwan,ablation_without_engineered_features,lightgbm,SEX_1,SEX,22.68,23.0,0.9042123644365854,21,24,0,0.0,0,0.0,0.02673757585855458
taiwan,ablation_without_engineered_features,lightgbm,MARRIAGE_2,MARRIAGE,24.08,24.0,0.9765244492586962,21,25,0,0.0,0,0.0,0.021480216764431175
taiwan,ablation_without_engineered_features,lightgbm,MARRIAGE_1,MARRIAGE,24.54,25.0,0.7799999999999999,21,25,0,0.0,0,0.0,0.0191589481782158
taiwan,ablation_without_engineered_features,lightgbm,EDUCATION_1,EDUCATION,26.0,26.0,0.0,26,26,0,0.0,0,0.0,0.009942671752314116
taiwan,ablation_without_engineered_features,lightgbm,SEX_2,SEX,27.2,27.0,0.44721359549995787,27,29,0,0.0,0,0.0,0.004056383944172911
taiwan,ablation_without_engineered_features,lightgbm,EDUCATION_3,EDUCATION,27.82,28.0,0.38418745424597095,27,28,0,0.0,0,0.0,0.00252712952877902
taiwan,ablation_without_engineered_features,lightgbm,MARRIAGE_3,MARRIAGE,28.98,29.0,0.13999999999999999,28,29,0,0.0,0,0.0,0.0011191826351909916
