fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
3.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
3.0,1.0,0.45,961.0,0.7103209019947961,0.796692607003891,0.7510316368638239,334,209
3.0,1.0,0.5,1019.0,0.7338331771321462,0.7616731517509727,0.7474940334128878,284,245
3.0,1.0,0.55,1096.0,0.7550813008130082,0.7227626459143969,0.7385685884691849,241,285
3.0,1.0,0.6,1213.0,0.7761529808773904,0.6712062256809338,0.7198748043818466,199,338
3.0,1.0,0.65,1362.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
3.0,1.0,0.7,1585.0,0.827426810477658,0.5223735408560312,0.6404293381037567,112,491
3.0,1.0,0.75,1824.0,0.8557692307692307,0.43287937743190663,0.5749354005167958,75,583
3.0,1.0,0.8,2104.0,0.875,0.3336575875486381,0.4830985915492958,49,685
3.0,1.0,0.85,2433.0,0.9036144578313253,0.2188715953307393,0.3523884103367267,24,803
3.0,1.0,0.9,2807.0,0.9223300970873787,0.09241245136186771,0.16799292661361626,8,933
3.0,1.0,0.95,3063.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
5.0,1.0,0.2,884.0,0.6002444987775061,0.9552529182879378,0.7372372372372372,654,46
5.0,1.0,0.15,897.0,0.5664217071791973,0.9747081712062257,0.7164819449410083,767,26
5.0,1.0,0.1,922.0,0.5339602925809822,0.9941634241245136,0.6947654656696125,892,6
5.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
5.0,1.0,0.25,957.0,0.628060886829914,0.9231517509727627,0.747538400945254,562,79
5.0,1.0,0.3,995.0,0.6501049685094472,0.9036964980544747,0.7562067562067563,500,99
5.0,1.0,0.35,1067.0,0.6759189797449362,0.8764591439688716,0.7632359169843287,432,127
5.0,1.0,0.4,1171.0,0.7005649717514124,0.8443579766536965,0.7657697397441553,371,160
5.0,1.0,0.45,1379.0,0.7103209019947961,0.796692607003891,0.7510316368638239,334,209
5.0,1.0,0.5,1509.0,0.7338331771321462,0.7616731517509727,0.7474940334128878,284,245
5.0,1.0,0.55,1666.0,0.7550813008130082,0.7227626459143969,0.7385685884691849,241,285
5.0,1.0,0.6,1889.0,0.7761529808773904,0.6712062256809338,0.7198748043818466,199,338
5.0,1.0,0.65,2170.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
5.0,1.0,0.7,2567.0,0.827426810477658,0.5223735408560312,0.6404293381037567,112,491
5.0,1.0,0.75,2990.0,0.8557692307692307,0.43287937743190663,0.5749354005167958,75,583
5.0,1.0,0.8,3474.0,0.875,0.3336575875486381,0.4830985915492958,49,685
5.0,1.0,0.85,4039.0,0.9036144578313253,0.2188715953307393,0.3523884103367267,24,803
5.0,1.0,0.9,4673.0,0.9223300970873787,0.09241245136186771,0.16799292661361626,8,933
5.0,1.0,0.95,5105.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
10.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
10.0,1.0,0.1,952.0,0.5339602925809822,0.9941634241245136,0.6947654656696125,892,6
10.0,1.0,0.15,1027.0,0.5664217071791973,0.9747081712062257,0.7164819449410083,767,26
10.0,1.0,0.2,1114.0,0.6002444987775061,0.9552529182879378,0.7372372372372372,654,46
10.0,1.0,0.25,1352.0,0.628060886829914,0.9231517509727627,0.747538400945254,562,79
10.0,1.0,0.3,1490.0,0.6501049685094472,0.9036964980544747,0.7562067562067563,500,99
10.0,1.0,0.35,1702.0,0.6759189797449362,0.8764591439688716,0.7632359169843287,432,127
10.0,1.0,0.4,1971.0,0.7005649717514124,0.8443579766536965,0.7657697397441553,371,160
10.0,1.0,0.45,2424.0,0.7103209019947961,0.796692607003891,0.7510316368638239,334,209
10.0,1.0,0.5,2734.0,0.7338331771321462,0.7616731517509727,0.7474940334128878,284,245
10.0,1.0,0.55,3091.0,0.7550813008130082,0.7227626459143969,0.7385685884691849,241,285
10.0,1.0,0.6,3579.0,0.7761529808773904,0.6712062256809338,0.7198748043818466,199,338
10.0,1.0,0.65,4190.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
10.0,1.0,0.7,5022.0,0.827426810477658,0.5223735408560312,0.6404293381037567,112,491
10.0,1.0,0.75,5905.0,0.8557692307692307,0.43287937743190663,0.5749354005167958,75,583
10.0,1.0,0.8,6899.0,0.875,0.3336575875486381,0.4830985915492958,49,685
10.0,1.0,0.85,8054.0,0.9036144578313253,0.2188715953307393,0.3523884103367267,24,803
10.0,1.0,0.9,9338.0,0.9223300970873787,0.09241245136186771,0.16799292661361626,8,933
10.0,1.0,0.95,10210.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
