dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight,param_cat_iterations,param_cat_depth,param_cat_learning_rate,param_cat_l2_leaf_reg,param_cat_random_strength,param_cat_bagging_temperature,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_learning_rate,param_xgb_subsample,param_xgb_colsample_bytree,param_xgb_min_child_weight,param_xgb_reg_alpha,param_xgb_reg_lambda
taiwan,taiwan_pr_auc_optuna,10,COMPLETE,mean_cv_pr_auc,0.5594713184958207,5,3,15,0.5594713184958207,0.784266171758484,0.31307404862034977,0.13554927169209294,2831.3333333333335,547.0666666666667,96.0,249.33333333333334,2707.6,0.012889007219052515,xgboost,,,,,,,,,,,,,,,,,150.0,6.0,0.010498440831138996,0.9897989290631973,0.9676826783488812,10.0,2.1651704640227267,11.828003247776802
taiwan,taiwan_pr_auc_optuna,11,COMPLETE,mean_cv_pr_auc,0.5661077525078683,5,3,15,0.5661077525078683,0.7876633911841903,0.36614618470857,0.1327673277821268,2658.733333333333,504.8,134.73333333333332,291.6,2668.866666666667,0.011337777246600756,catboost,,,,,,,,,,,200.0,7.0,0.018013045169270794,3.359643592845829,0.1303840901125725,1.8711237521628497,,,,,,,,
taiwan,taiwan_pr_auc_optuna,12,COMPLETE,mean_cv_pr_auc,0.5633499561934433,5,3,15,0.5633499561934433,0.7866697393573553,0.37183659829889726,0.13318450263013434,2645.6666666666665,500.26666666666665,144.33333333333334,296.1333333333333,2659.266666666667,0.011613898563320462,catboost,,,,,,,,,,,300.0,7.0,0.028312691388139265,15.052779080614654,4.634476282808297,0.8331142325542799,,,,,,,,
taiwan,taiwan_pr_auc_optuna,13,COMPLETE,mean_cv_pr_auc,0.5657016393356891,5,3,15,0.5657016393356891,0.7876296994373557,0.37317694705228366,0.13271442526555896,2637.4,499.2,141.4,297.2,2662.2,0.011136479125174405,catboost,,,,,,,,,,,300.0,6.0,0.028191026431775193,1.9056728176447884,0.1359268456031194,0.010608512739489595,,,,,,,,
taiwan,taiwan_pr_auc_optuna,14,COMPLETE,mean_cv_pr_auc,0.561322803290498,5,3,15,0.561322803290498,0.7833708577381661,0.35049137363942257,0.13400621918449615,2708.866666666667,517.2666666666667,122.53333333333333,279.1333333333333,2681.0666666666666,0.01123285857840929,catboost,,,,,,,,,,,150.0,3.0,0.019234931554767645,8.744606574592698,0.3363132276850932,0.6143168485502055,,,,,,,,
taiwan,taiwan_pr_auc_optuna,15,COMPLETE,mean_cv_pr_auc,0.5642889934701718,5,3,15,0.5642889934701718,0.7873625324667702,0.37409727432646295,0.1330368967039851,2638.5333333333333,498.46666666666664,146.2,297.93333333333334,2657.4,0.012507785524837996,catboost,,,,,,,,,,,250.0,6.0,0.04751864566623431,1.4540614057965506,2.102044384356252,1.378311645969724,,,,,,,,
taiwan,taiwan_pr_auc_optuna,16,COMPLETE,mean_cv_pr_auc,0.5603174136020788,5,3,15,0.5603174136020788,0.7858623169191953,0.3590303041766759,0.1331797815870264,2682.6,510.46666666666664,130.26666666666668,285.93333333333334,2673.3333333333335,0.013828751182067521,xgboost,,,,,,,,,,,,,,,,,350.0,2.0,0.02701690853352912,0.8709554247669221,0.6596222037089582,6.0,1.399207647903168e-07,0.0010999266605879654
taiwan,taiwan_pr_auc_optuna,17,COMPLETE,mean_cv_pr_auc,0.5674621673098947,5,3,15,0.5674621673098947,0.7877860318820982,0.3632990338560221,0.1327395847328442,2667.4,507.06666666666666,132.06666666666666,289.3333333333333,2671.5333333333333,0.010963403361993314,catboost,,,,,,,,,,,350.0,6.0,0.010044437480073522,5.033339612408528,0.27122786787817815,0.4526212629908773,,,,,,,,
taiwan,taiwan_pr_auc_optuna,18,COMPLETE,mean_cv_pr_auc,0.5657315465295151,5,3,15,0.5657315465295151,0.7865965298739502,0.35986793019888236,0.13298159621712421,2679.133333333333,509.8,130.13333333333333,286.6,2673.4666666666667,0.010951263678682677,catboost,,,,,,,,,,,450.0,4.0,0.010409350012252572,7.38891768792234,0.24889418968497357,1.195669085519831,,,,,,,,
taiwan,taiwan_pr_auc_optuna,19,COMPLETE,mean_cv_pr_auc,0.5107135396953629,5,3,15,0.5107135396953629,0.7513191132748936,0.37845185778327023,0.1497653024166438,2676.6666666666665,495.0,201.66666666666666,301.4,2601.9333333333334,0.014230394749113254,xgboost,,,,,,,,,,,,,,,,,550.0,6.0,0.14951168547239543,0.6700302716039075,0.998949315045315,1.0,0.16793389238526238,8.661416306924789
