dataset,stability_scope,model_family,seed_a,seed_b,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,kendalls_w,top5_overlap_count,top5_overlap_rate,top10_overlap_count,top10_overlap_rate
heloc,reduced,lightgbm,67920,276757,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,354524,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,370788,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,402405,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,432996,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,438858,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,443405,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,445686,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,450372,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,450451,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,500337,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,513210,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,526458,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,545418,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,554576,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,631658,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,643850,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,654541,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,677918,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,697339,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,700518,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,717452,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,735725,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,758081,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,761112,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,773919,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,778383,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,781548,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,786037,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,822743,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,827621,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,839722,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,858280,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,858560,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,887876,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,893119,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,926740,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,970694,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,67920,975585,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,89247,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,92135,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,94174,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,128110,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,165228,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,182545,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,201462,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,227235,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,276757,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,354524,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,370788,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,402405,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,432996,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,438858,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,443405,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,445686,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,450372,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,450451,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,500337,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,513210,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,526458,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,545418,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,554576,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,631658,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,643850,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,654541,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,85942,677918,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
