fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
3.0,1.0,0.6,1210.0,0.7764044943820225,0.6721789883268483,0.7205422314911366,199,337
3.0,1.0,0.65,1362.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
3.0,1.0,0.7,1591.0,0.8304821150855366,0.519455252918288,0.6391382405745063,109,494
3.0,1.0,0.75,1828.0,0.8585271317829457,0.43093385214007784,0.5738341968911918,73,585
3.0,1.0,0.8,2137.0,0.8713910761154856,0.3229571984435798,0.47125621007806956,49,696
3.0,1.0,0.85,2441.0,0.9061224489795918,0.21595330739299612,0.3487824037706206,23,806
3.0,1.0,0.9,2813.0,0.9207920792079208,0.09046692607003891,0.16474756421612047,8,935
3.0,1.0,0.95,3066.0,1.0,0.005836575875486381,0.01160541586073501,0,1022
5.0,1.0,0.2,883.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
5.0,1.0,0.15,906.0,0.5635545556805399,0.9747081712062257,0.714183891660727,776,26
5.0,1.0,0.1,923.0,0.5336814621409922,0.9941634241245136,0.6945293917770982,893,6
5.0,1.0,0.05,947.0,0.520506329113924,1.0,0.6846486846486847,947,0
5.0,1.0,0.25,963.0,0.6255767963085036,0.9231517509727627,0.7457760314341847,568,79
5.0,1.0,0.3,989.0,0.6508047585724283,0.9046692607003891,0.757020757020757,499,98
5.0,1.0,0.35,1064.0,0.6774436090225564,0.8764591439688716,0.7642069550466497,429,127
5.0,1.0,0.4,1187.0,0.6992724333063864,0.8414396887159533,0.7637969094922737,372,163
5.0,1.0,0.45,1372.0,0.7118055555555556,0.7976653696498055,0.7522935779816514,332,208
5.0,1.0,0.5,1508.0,0.7345215759849906,0.7616731517509727,0.7478510028653295,283,245
5.0,1.0,0.55,1665.0,0.7558494404883012,0.7227626459143969,0.7389358528095475,240,285
5.0,1.0,0.6,1884.0,0.7764044943820225,0.6721789883268483,0.7205422314911366,199,337
5.0,1.0,0.65,2170.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
5.0,1.0,0.7,2579.0,0.8304821150855366,0.519455252918288,0.6391382405745063,109,494
5.0,1.0,0.75,2998.0,0.8585271317829457,0.43093385214007784,0.5738341968911918,73,585
5.0,1.0,0.8,3529.0,0.8713910761154856,0.3229571984435798,0.47125621007806956,49,696
5.0,1.0,0.85,4053.0,0.9061224489795918,0.21595330739299612,0.3487824037706206,23,806
5.0,1.0,0.9,4683.0,0.9207920792079208,0.09046692607003891,0.16474756421612047,8,935
5.0,1.0,0.95,5110.0,1.0,0.005836575875486381,0.01160541586073501,0,1022
10.0,1.0,0.05,947.0,0.520506329113924,1.0,0.6846486846486847,947,0
10.0,1.0,0.1,953.0,0.5336814621409922,0.9941634241245136,0.6945293917770982,893,6
10.0,1.0,0.15,1036.0,0.5635545556805399,0.9747081712062257,0.714183891660727,776,26
