dataset,model,model_role,split,calibration_method,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,test_set_used_for_training_or_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
taiwan,smotenc_xgboost,base_model,test,sigmoid,0.13,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3449.0,False,0.5778333333333333,0.32275132275132273,0.827430293896006,0.4643687883273419,0.5069548469933661,0.6476648809683335,0.7699070854050857,0.54154196914364,0.13738820348719022,0.013147730196929646,1.027775373983421,0.029418739659153155,2369,2304,229,1098
taiwan,class_weighted_logistic_regression,base_model,test,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3518.0,False,0.6643333333333333,0.36732329084588644,0.7166541070082894,0.4856996935648621,0.6494757115343462,0.6822385477772568,0.7621812425627765,0.52314270813448,0.13772549731766343,0.014440894838948027,0.9489208941400588,-0.04868643771176978,3035,1638,376,951
taiwan,logistic_regression,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3525.0,False,0.6385,0.35060326472675657,0.7445365486058779,0.4767189384800965,0.6083886154504601,0.6730286472050014,0.762119559669612,0.527962639992053,0.1374953245692171,0.013735588570186643,0.9448246443658108,-0.05545968197120224,2843,1830,339,988
taiwan,majority_baseline,base_model,test,isotonic,0.01,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,4673.0,False,0.22116666666666668,0.22116666666666668,1.0,0.362221918929985,0.0,0.0,0.5,0.22116666666666668,0.172251975308642,5.555555555555869e-05,0.6132708642128105,-0.48728056942318704,0,4673,0,1327
taiwan,SCRE-Credit,scre_credit,test,weighted_sum_plus_isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3370.0,False,0.6543333333333333,0.36432982201235015,0.7558402411454408,0.49166666666666664,0.625508238818746,0.6875931195607042,0.78157176397432,0.5444404951784547,0.13447458466250192,0.01613451433701308,0.9172643581924976,-0.10578040304094471,2923,1750,324,1003
taiwan,catboost,base_model,validation,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3173.0,False,0.6331666666666667,0.35634451019066404,0.8168801808590807,0.49622339208056765,0.5809972180612026,0.6889158965856848,0.7862745000016933,0.5600762638181987,0.13349090146625334,0.0058542408872619845,0.9921044624882047,0.012150949225409359,2715,1958,243,1084
taiwan,monotonic_xgboost,base_model,validation,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3185.0,False,0.6385,0.3591030789825971,0.8085908063300679,0.4973348783314021,0.5901990156216563,0.6908179919028798,0.7875936269718569,0.5553928065202245,0.13345622744163713,0.005533665134933678,1.020343525637466,0.042918831294850315,2758,1915,254,1073
taiwan,optuna_best_catboost,base_model,validation,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3199.0,False,0.6361666666666667,0.3574283810792805,0.8085908063300679,0.49572649572649574,0.5872030815322062,0.6890624160231258,0.7857055660223855,0.5592637451467721,0.1334743676146833,0.009632927847266293,0.9840053321470952,0.0014835523775594897,2744,1929,254,1073
taiwan,lightgbm,base_model,validation,isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3205.0,False,0.6805,0.38653846153846155,0.7573474001507159,0.5118411000763942,0.6586775090947999,0.7062915113823018,0.7840167448493977,0.5562193442422032,0.13447060780542106,0.014047813305179433,1.066820520696398,0.09560197738354177,3078,1595,322,1005
taiwan,random_forest,base_model,validation,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3230.0,False,0.663,0.37340619307832423,0.7724189902034665,0.5034381139489195,0.6319280975818532,0.6986510309270091,0.7867628833793389,0.5596793325208734,0.1336077591380536,0.009223818323479877,1.0191657610623657,0.039335877554225386,2953,1720,302,1025
taiwan,xgboost,base_model,validation,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3233.0,False,0.6005,0.33817301875378103,0.8425018839487566,0.4826246492553421,0.5317783008773806,0.6693461140040046,0.7868731869059393,0.5597109861331215,0.1333922712879752,0.007834309003652186,1.0116673796418547,0.03302709934697246,2485,2188,209,1118
taiwan,class_weighted_lightgbm,base_model,validation,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3234.0,False,0.6023333333333334,0.33900881726968685,0.840241145440844,0.4831022530329289,0.5347742349668307,0.6703277673950118,0.7828515429028309,0.5530878635457359,0.13444978799454987,0.010769818699591925,1.0583829696180544,0.08435631150087478,2499,2174,212,1115
taiwan,monotonic_lightgbm,base_model,validation,isotonic,0.18,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3272.0,False,0.7053333333333334,0.4058898847631242,0.7166541070082894,0.5182561307901907,0.7021185533918254,0.7093490994531328,0.7809683198273332,0.5502663257809105,0.13468632990453205,0.012661588011566137,1.0742221808568373,0.10784155561021352,3281,1392,376,951
taiwan,smotenc_xgboost,base_model,validation,sigmoid,0.13,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3293.0,False,0.5858333333333333,0.3301056338028169,0.8477769404672193,0.4751847940865892,0.5114487481275412,0.6584788947972109,0.7793136862970929,0.5438907456996119,0.13595661912746781,0.014312512779194443,1.0716007693576612,0.09423257747558289,2390,2283,202,1125
