t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.15,0.2,678.0,179,122,1279,0.11329113924050632,0.07721518987341772,0.8094936708860759,23,502,156,777,22,100,0.6075058639562158,0.9452554744525548,0.9720194647201946,0.9227848101265823,True,True,True
0.2,0.3,679.0,301,194,1085,0.19050632911392404,0.12278481012658228,0.6867088607594937,45,357,256,728,49,145,0.6709677419354839,0.8856447688564477,0.9452554744525548,0.8772151898734177,True,True,True
0.2,0.65,684.0,301,682,597,0.19050632911392404,0.4316455696202532,0.3778481012658228,45,118,256,479,298,384,0.8023450586264657,0.5827250608272506,0.9452554744525548,0.5683544303797469,True,True,True
0.05,0.15,691.0,1,178,1401,0.0006329113924050633,0.11265822784810127,0.8867088607594936,0,602,1,799,23,155,0.5703069236259815,0.9720194647201946,1.0,0.8873417721518987,True,True,True
0.1,0.15,695.0,53,126,1401,0.03354430379746835,0.07974683544303797,0.8867088607594936,6,602,47,799,17,109,0.5703069236259815,0.9720194647201946,0.9927007299270073,0.920253164556962,True,True,True
0.2,0.25,701.5,301,103,1176,0.19050632911392404,0.06518987341772152,0.7443037974683544,45,425,256,751,26,77,0.6386054421768708,0.9136253041362531,0.9452554744525548,0.9348101265822785,True,True,True
0.05,0.1,737.0,1,52,1527,0.0006329113924050633,0.03291139240506329,0.9664556962025317,0,711,1,816,6,46,0.5343811394891945,0.9927007299270073,1.0,0.9670886075949368,True,True,True
0.25,0.45,740.0,404,292,884,0.25569620253164554,0.1848101265822785,0.5594936708860759,71,239,333,645,106,186,0.7296380090497737,0.7846715328467153,0.9136253041362531,0.8151898734177215,True,True,True
0.25,0.5,743.5,404,361,815,0.25569620253164554,0.22848101265822784,0.5158227848101266,71,208,333,607,144,217,0.7447852760736197,0.7384428223844283,0.9136253041362531,0.7715189873417722,True,True,True
0.25,0.55,745.0,404,432,744,0.25569620253164554,0.27341772151898736,0.4708860759493671,71,174,333,570,181,251,0.7661290322580645,0.6934306569343066,0.9136253041362531,0.7265822784810126,True,True,True
0.25,0.4,747.0,404,232,944,0.25569620253164554,0.1468354430379747,0.5974683544303797,71,276,333,668,83,149,0.7076271186440678,0.8126520681265207,0.9136253041362531,0.8531645569620253,True,True,True
0.25,0.35,751.0,404,166,1010,0.25569620253164554,0.10506329113924051,0.6392405063291139,71,313,333,697,54,112,0.69009900990099,0.8479318734793188,0.9136253041362531,0.8949367088607595,True,True,True
0.25,0.6,754.5,404,493,683,0.25569620253164554,0.3120253164556962,0.43227848101265826,71,153,333,530,221,272,0.7759882869692533,0.6447688564476886,0.9136253041362531,0.6879746835443038,True,True,True
0.25,0.3,757.5,404,91,1085,0.25569620253164554,0.05759493670886076,0.6867088607594937,71,357,333,728,23,68,0.6709677419354839,0.8856447688564477,0.9136253041362531,0.9424050632911393,True,True,True
0.25,0.65,762.5,404,579,597,0.25569620253164554,0.36645569620253166,0.3778481012658228,71,118,333,479,272,307,0.8023450586264657,0.5827250608272506,0.9136253041362531,0.6335443037974684,True,True,True
