dataset,system,row_type,feature_group,feature,fp_mean,tp_mean,tn_mean,fn_mean,smd_fp_vs_tp,smd_fp_vs_tn,smd_fp_vs_fn,abs_smd_fp_vs_tp,abs_smd_fp_vs_tn,abs_smd_fp_vs_fn,fp_closer_to_feature,fp_group_size,tp_group_size,tn_group_size,fn_group_size
taiwan,Best SCRE policy,group_summary,payment_delay,__group_mean_abs_smd__,,,,,,,,0.39670585369246875,1.0890841838359042,1.1022096669262935,TP-like risky profile,,,,
taiwan,Best SCRE policy,group_summary,debt_payment,__group_mean_abs_smd__,,,,,,,,0.09207359096759474,0.33163001270364945,0.2757906880313398,TP-like risky profile,,,,
taiwan,Best SCRE policy,group_summary,demographics,__group_mean_abs_smd__,,,,,,,,0.052003660348423505,0.07614949700629248,0.06767433637758316,TP-like risky profile,,,,
taiwan,Best Scorecard policy,feature,payment_delay,PAY_0,0.6424050632911392,1.3464373464373465,-0.4332885906040268,-0.49317738791423,-0.5646059590194942,1.093675843466018,1.147029637293264,0.5646059590194942,1.093675843466018,1.147029637293264,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,PAY_2,0.3691983122362869,1.0393120393120394,-0.4636241610738255,-0.5146198830409356,-0.42093714760290774,0.6630034878573438,0.6959549286697311,0.42093714760290774,0.6630034878573438,0.6959549286697311,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,PAY_3,0.3154008438818565,0.8783783783783784,-0.4633557046979866,-0.5224171539961013,-0.3474983841078999,0.6162039897871028,0.6553257108649104,0.3474983841078999,0.6162039897871028,0.6553257108649104,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,PAY_4,0.1687763713080168,0.7407862407862408,-0.4791946308724832,-0.557504873294347,-0.34153684701200326,0.5233157631889339,0.5816525714617998,0.34153684701200326,0.5233157631889339,0.5816525714617998,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,PAY_5,0.0189873417721519,0.6818181818181818,-0.4797315436241611,-0.5536062378167641,-0.4055105363405973,0.4202888776656298,0.4784252683721279,0.4055105363405973,0.4202888776656298,0.4784252683721279,Mixed / borderline profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,PAY_6,-0.0369198312236286,0.5540540540540541,-0.4848322147651007,-0.5906432748538012,-0.36598294709141643,0.37411331420111527,0.461573513862442,0.36598294709141643,0.37411331420111527,0.461573513862442,Mixed / borderline profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,delay_count,2.1392405063291138,3.1535626535626538,0.0875167785234899,0.0935672514619883,-0.5479409277808646,1.705130537423253,1.7012286957416753,0.5479409277808646,1.705130537423253,1.7012286957416753,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,severe_delay_count,1.740506329113924,2.8992628992628995,0.0625503355704698,0.0662768031189083,-0.6120392677184832,1.3937786700058614,1.3924825737568898,0.6120392677184832,1.3937786700058614,1.3924825737568898,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,max_delay,1.8132911392405064,2.2125307125307123,0.1293959731543624,0.1461988304093567,-0.38241932500225934,2.2676093464210587,2.2133656483177124,0.38241932500225934,2.2676093464210587,2.2133656483177124,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,avg_delay,0.6991912798874823,1.152948402948403,0.025145413870246,0.0269655620532813,-0.5355981822177681,1.3485103059590182,1.345267124161653,0.5355981822177681,1.3485103059590182,1.345267124161653,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,payment_delay,recent_delay,0.640295358649789,0.8378378378378378,0.0268456375838926,0.0350877192982456,-0.46140610452715874,1.7123300540985027,1.6642571137939837,0.46140610452715874,1.7123300540985027,1.6642571137939837,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,debt_payment,LIMIT_BAL,113175.10548523208,117174.44717444718,192730.20134228189,169956.49122807017,-0.03754873505797412,-0.6654873871695502,-0.48968465476244416,0.03754873505797412,0.6654873871695502,0.48968465476244416,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,debt_payment,utilization_proxy,0.4599045210929628,0.5034423463590711,0.3314140873325246,0.3479609037630733,-0.11287805928616215,0.3498059308932521,0.2909783417331791,0.11287805928616215,0.3498059308932521,0.2909783417331791,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,debt_payment,payment_to_bill_ratio,50.8032046967011,6.332779158285386,24.313586076267782,1.937566638053132,0.06574256835021398,0.022367908842171404,0.07290440511226784,0.06574256835021398,0.022367908842171404,0.07290440511226784,TN-like possible false alarm,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,debt_payment,total_bill_amt,201465.07383966245,279515.6302211302,291385.02496644296,266287.3528265108,-0.2218450149765984,-0.25655413917675574,-0.17192590594572638,0.2218450149765984,0.25655413917675574,0.17192590594572638,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,debt_payment,total_pay_amt,13985.18670886076,14050.60565110565,41564.05476510067,26886.57699805068,-0.0028669840396049716,-0.4592288820405587,-0.3820155975062333,0.0028669840396049716,0.4592288820405587,0.3820155975062333,TP-like risky profile,948.0,814.0,3725.0,513.0
taiwan,Best Scorecard policy,feature,demographics,AGE,35.40506329113924,35.87346437346437,35.658791946308725,36.23391812865497,-0.04745016758802649,-0.026899066864308065,-0.0869940434346996,0.04745016758802649,0.026899066864308065,0.0869940434346996,TN-like possible false alarm,948.0,814.0,3725.0,513.0
