dataset,model,evaluation_split,calibration_type,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,standardized_net_benefit,is_better_than_treat_all,is_better_than_treat_none,rank_at_threshold
taiwan,Best XGBoost,test,isotonic,0.06,1290,4059,614,37,0.17181914893617023,0.17145390070921987,0.0,0.7768763327935353,True,True,5
taiwan,Best XGBoost,test,isotonic,0.07,1279,3879,794,48,0.16450537634408602,0.16254480286738351,0.0,0.7438072781194545,True,True,5
taiwan,Best XGBoost,test,isotonic,0.08,1268,3625,1048,59,0.1587971014492754,0.15344202898550727,0.0,0.7179974443825564,True,True,1
taiwan,Best XGBoost,test,isotonic,0.09,1249,3373,1300,78,0.15256776556776558,0.14413919413919415,0.0,0.6898316453704547,True,True,1
taiwan,Best XGBoost,test,isotonic,0.1,1223,3089,1584,104,0.14662962962962964,0.13462962962962965,0.0,0.6629825002093277,True,True,1
taiwan,Best XGBoost,test,isotonic,0.11,1191,2797,1876,136,0.14088389513108615,0.12490636704119852,0.0,0.6370032937351295,True,True,3
taiwan,Best XGBoost,test,isotonic,0.12,1175,2606,2067,152,0.13660606060606062,0.11496212121212124,0.0,0.6176611632527232,True,True,4
taiwan,Best XGBoost,test,isotonic,0.13,1137,2368,2305,190,0.13052681992337165,0.10478927203065136,0.0,0.5901740162322757,True,True,4
taiwan,Best XGBoost,test,isotonic,0.14,1110,2198,2475,217,0.1253643410852713,0.09437984496124033,0.0,0.5668319868211212,True,True,4
taiwan,Best XGBoost,test,isotonic,0.15,1074,2053,2620,253,0.11861764705882352,0.08372549019607844,0.0,0.5363269648477326,True,True,4
taiwan,Best XGBoost,test,isotonic,0.16,1032,1826,2847,295,0.11403174603174601,0.07281746031746034,0.0,0.5155919187569525,True,True,2
taiwan,Best XGBoost,test,isotonic,0.17,976,1637,3036,351,0.10678514056224898,0.06164658634538153,0.0,0.48282655868386876,True,True,4
taiwan,Best XGBoost,test,isotonic,0.18,939,1452,3221,388,0.10337804878048781,0.05020325203252038,0.0,0.46742147150182883,True,True,4
taiwan,Best XGBoost,test,isotonic,0.19,902,1224,3449,425,0.1024814814814815,0.03847736625514406,0.0,0.46336766306623134,True,True,1
taiwan,Best XGBoost,test,isotonic,0.2,877,1082,3591,450,0.10108333333333333,0.02645833333333336,0.0,0.4570459683496609,True,True,1
taiwan,Best XGBoost,test,isotonic,0.21,854,989,3684,473,0.09851687763713082,0.014135021097046452,0.0,0.4454417979071476,True,True,1
taiwan,Best XGBoost,test,isotonic,0.22,833,907,3766,494,0.0961965811965812,0.0014957264957265182,0.0,0.43495063088130154,True,True,1
taiwan,Best XGBoost,test,isotonic,0.23,819,859,3814,508,0.09373593073593076,-0.011471861471861439,0.0,0.42382485637949097,True,True,2
taiwan,Best XGBoost,test,isotonic,0.24,800,812,3861,527,0.09059649122807018,-0.02478070175438593,0.0,0.4096299528021259,True,True,4
taiwan,Best XGBoost,test,isotonic,0.25,779,756,3917,548,0.08783333333333333,-0.03844444444444439,0.0,0.39713639788997734,True,True,4
taiwan,Best XGBoost,test,isotonic,0.26,771,727,3946,556,0.08592792792792792,-0.05247747747747744,0.0,0.38852115114360775,True,True,4
taiwan,Best XGBoost,test,isotonic,0.27,756,684,3989,571,0.08383561643835616,-0.06689497716894977,0.0,0.37906081283356213,True,True,4
taiwan,Best XGBoost,test,isotonic,0.28,741,648,4025,586,0.08149999999999999,-0.08171296296296299,0.0,0.3685003767897512,True,True,4
taiwan,Best XGBoost,test,isotonic,0.29,724,613,4060,603,0.07893661971830987,-0.09694835680751168,0.0,0.3569101117632699,True,True,4
taiwan,Best XGBoost,test,isotonic,0.3,710,587,4086,617,0.0764047619047619,-0.11261904761904762,0.0,0.34546237485197545,True,True,4
taiwan,Best XGBoost,test,isotonic,0.31,700,571,4102,627,0.07391062801932366,-0.12874396135265698,0.0,0.33418520581457567,True,True,4
taiwan,Best XGBoost,test,isotonic,0.32,679,529,4144,648,0.07167647058823529,-0.14534313725490194,0.0,0.32408351434017457,True,True,3
taiwan,Best XGBoost,test,isotonic,0.33,655,504,4169,672,0.06779353233830844,-0.16243781094527365,0.0,0.30652689828926194,True,True,4
taiwan,Best XGBoost,test,isotonic,0.34,646,482,4191,681,0.06628282828282826,-0.18005050505050507,0.0,0.29969628462469444,True,True,4
taiwan,Best XGBoost,test,isotonic,0.35,638,470,4203,689,0.06415384615384616,-0.19820512820512814,0.0,0.2900701408613994,True,True,4
taiwan,Best XGBoost,test,isotonic,0.36,620,434,4239,707,0.06264583333333333,-0.21692708333333327,0.0,0.2832516955538809,True,True,4
taiwan,Best XGBoost,test,isotonic,0.37,614,425,4248,713,0.06073280423280423,-0.2362433862433862,0.0,0.2746019784452339,True,True,4
taiwan,Best XGBoost,test,isotonic,0.38,592,402,4271,735,0.05760215053763441,-0.2561827956989247,0.0,0.2604467997180154,True,True,4
taiwan,Best XGBoost,test,isotonic,0.39,584,386,4287,743,0.056202185792349715,-0.27677595628415297,0.0,0.25411689129924514,True,True,4
taiwan,Best XGBoost,test,isotonic,0.4,576,372,4301,751,0.05466666666666666,-0.2980555555555556,0.0,0.24717407686510923,True,True,4
taiwan,Best XGBoost,test,isotonic,0.41,566,356,4317,761,0.05310169491525425,-0.320056497175141,0.0,0.24009809306068236,True,True,4
taiwan,Best XGBoost,test,isotonic,0.42,562,349,4324,765,0.05154597701149426,-0.3428160919540228,0.0,0.23306395031572383,True,True,4
taiwan,Best XGBoost,test,isotonic,0.43,549,333,4340,778,0.04963157894736842,-0.36637426900584785,0.0,0.22440804346963866,True,True,4
taiwan,Best XGBoost,test,isotonic,0.44,536,307,4366,791,0.049130952380952386,-0.3907738095238094,0.0,0.2221444719560771,True,True,2
taiwan,Best XGBoost,test,isotonic,0.45,523,295,4378,804,0.04693939393939395,-0.41606060606060596,0.0,0.212235390833733,True,True,5
taiwan,Best XGBoost,test,isotonic,0.46,511,291,4382,816,0.04385185185185185,-0.4422839506172839,0.0,0.19827514024951853,True,True,5
