dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
heloc,validation,Best literature reproduction model,0.05,99,89.0,1027,0.0866601752677702,0.898989898989899,0.0866601752677702,1.727951373520994,10.0,10.0,187.4696048632219,395.5,49.5,395.5,0.907909334324229,0.4936369500902687,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.1,198,174.0,1027,0.1694255111976631,0.8787878787878788,0.1694255111976631,1.6891210055767019,24.0,24.0,354.9392097264438,771.0,99.0,771.0,0.8871571902525047,0.4728576474365747,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.15,297,260.0,1027,0.25316455696202533,0.8754208754208754,0.25316455696202533,1.6826492775859865,37.0,37.0,527.4088145896657,1151.5,148.5,1151.5,0.8723612722548227,0.45102027886563517,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.2,395,336.0,1027,0.32716650438169426,0.850632911392405,0.32716650438169426,1.6350042522771253,59.0,59.0,652.4797365754813,1482.5,197.5,1482.5,0.8572952535500025,0.42863880960424416,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.25,494,421.0,1027,0.40993184031158714,0.8522267206477733,0.40993184031158714,1.6380677181681642,73.0,73.0,819.9493414387032,1858.0,247.0,1858.0,0.8406846420148185,0.40550952186623795,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.3,593,495.0,1027,0.4819863680623174,0.8347386172006745,0.4819863680623174,1.6044537783389792,98.0,98.0,932.418946301925,2178.5,296.5,2178.5,0.8253060929422792,0.38091657668543166,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,Best literature reproduction model,0.4,790,636.0,1027,0.6192794547224927,0.8050632911392405,0.6192794547224927,1.5474147387622792,154.0,154.0,1124.9594731509626,2785.0,395.0,2785.0,0.7898976175875694,0.3306023544114635,Best literature reproduction: CatBoost Balanced proxy,False
heloc,validation,SCRE-Optimized probability ranking,0.05,99,95.0,1027,0.09250243427458617,0.9595959595959596,0.09250243427458617,1.84444247735387,4.0,4.0,217.4696048632219,425.5,49.5,425.5,0.9230893399881654,0.5816138002862764,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.1,198,187.0,1027,0.18208373904576436,0.9444444444444444,0.18208373904576436,1.8153197013956508,11.0,11.0,419.9392097264438,836.0,99.0,836.0,0.9060556804824332,0.5644778690653576,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.15,297,271.0,1027,0.2638753651411879,0.9124579124579124,0.2638753651411879,1.7538382854838552,26.0,26.0,582.4088145896657,1206.5,148.5,1206.5,0.8924821266662283,0.5467170713033555,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.2,395,349.0,1027,0.33982473222979553,0.8835443037974684,0.33982473222979553,1.6982633453711808,46.0,46.0,717.4797365754813,1547.5,197.5,1547.5,0.8794175334698182,0.5285255189835457,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.25,494,430.0,1027,0.4186952288218111,0.8704453441295547,0.4186952288218111,1.6730857929033505,64.0,64.0,864.9493414387032,1903.0,247.0,1903.0,0.8662855261101648,0.5094369393899834,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.3,593,513.0,1027,0.49951314508276534,0.8650927487352446,0.49951314508276534,1.6627975520967604,80.0,80.0,1022.418946301925,2268.5,296.5,2268.5,0.852521460421561,0.48976574523215877,weights renormalized over available components,False
heloc,validation,SCRE-Optimized probability ranking,0.4,790,653.0,1027,0.6358325219084713,0.8265822784810126,0.6358325219084713,1.5887764534776232,137.0,137.0,1209.9594731509626,2870.0,395.0,2870.0,0.8232752348371507,0.44892253773162827,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.05,99,91.0,1027,0.08860759493670886,0.9191919191919192,0.08860759493670886,1.766781741465286,8.0,8.0,197.4696048632219,405.5,49.5,405.5,0.904654859670549,0.506179324954101,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.1,198,179.0,1027,0.17429406037000975,0.9040404040404041,0.17429406037000975,1.7376589655070669,19.0,19.0,379.9392097264438,796.0,99.0,796.0,0.8846560705407863,0.4861966010299819,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.15,297,264.0,1027,0.25705939629990265,0.8888888888888888,0.25705939629990265,1.7085361895488478,33.0,33.0,547.4088145896657,1171.5,148.5,1171.5,0.8673456694228828,0.46573965508510884,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.2,395,343.0,1027,0.3339824732229795,0.8683544303797468,0.3339824732229795,1.6690668408662321,52.0,52.0,687.4797365754813,1517.5,197.5,1517.5,0.8512567569055844,0.4448389147679657,weights renormalized over available components,False
heloc,validation,SCRE-Pareto probability ranking,0.25,494,425.0,1027,0.41382667964946446,0.8603238866396761,0.41382667964946446,1.653631306939358,69.0,69.0,839.9493414387032,1878.0,247.0,1878.0,0.8355762106293668,0.42288676847663276,weights renormalized over available components,False
