dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
taiwan,validation,SCRE-Optimized probability ranking,0.4,2400,1013.0,1327,0.7633760361718162,0.4220833333333333,0.7633760361718162,1.9084400904295402,1387.0,1387.0,2411.0,3865.0,1200.0,3865.0,0.3942029339617715,0.10891462677810561,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.05,300,237.0,1327,0.1785983421250942,0.79,0.1785983421250942,3.571966842501884,63.0,63.0,853.25,1035.0,150.0,1035.0,0.7330664861189797,0.1940862350024128,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.1,600,422.0,1327,0.3180105501130369,0.7033333333333334,0.3180105501130369,3.1801055011303694,178.0,178.0,1446.5,1810.0,300.0,1810.0,0.6713574190365396,0.1709994507273191,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.15,900,579.0,1327,0.43632253202712884,0.6433333333333333,0.43632253202712884,2.9088168801808587,321.0,321.0,1899.75,2445.0,450.0,2445.0,0.6043418777471296,0.15339290105431969,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.2,1200,698.0,1327,0.5259984928409948,0.5816666666666667,0.5259984928409948,2.6299924642049737,502.0,502.0,2163.0,2890.0,600.0,2890.0,0.5443092646119386,0.1402167432948168,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.25,1500,782.0,1327,0.5892991710625471,0.5213333333333333,0.5892991710625471,2.357196684250188,718.0,718.0,2251.25,3160.0,750.0,3160.0,0.49389411006363815,0.1300822933897755,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.3,1800,864.0,1327,0.6510926902788244,0.48,0.6510926902788244,2.1703089675960814,936.0,936.0,2329.5,3420.0,900.0,3420.0,0.45146390187625246,0.12228010999337917,weights renormalized over available components,False
taiwan,validation,SCRE-Pareto probability ranking,0.4,2400,1002.0,1327,0.7550866616428034,0.4175,0.7550866616428034,1.887716654107008,1398.0,1398.0,2356.0,3810.0,1200.0,3810.0,0.3881938072508641,0.10959620776315919,weights renormalized over available components,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.05,300,232.0,1327,0.17483044461190655,0.7733333333333333,0.17483044461190655,3.4966088922381307,68.0,68.0,828.25,1010.0,150.0,1010.0,0.7763696716988862,0.18922061243304353,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.1,600,420.0,1327,0.3165033911077619,0.7,0.3165033911077619,3.1650339110776184,180.0,180.0,1436.5,1800.0,300.0,1800.0,0.7105150510721501,0.16391840032124524,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.15,900,568.0,1327,0.42803315749811605,0.6311111111111111,0.42803315749811605,2.8535543833207733,332.0,332.0,1844.75,2390.0,450.0,2390.0,0.6361073576030702,0.14489642559514723,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.2,1200,690.0,1327,0.5199698568198945,0.575,0.5199698568198945,2.5998492840994722,510.0,510.0,2123.0,2850.0,600.0,2850.0,0.5686796277060066,0.131052674818918,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.25,1500,769.0,1327,0.5795026375282593,0.5126666666666667,0.5795026375282593,2.318010550113037,731.0,731.0,2186.25,3095.0,750.0,3095.0,0.5138783401874868,0.12014464046595201,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.3,1800,846.0,1327,0.6375282592313489,0.47,0.6375282592313489,2.1250941974378295,954.0,954.0,2239.5,3330.0,900.0,3330.0,0.4687718446361139,0.11135216000785934,,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.4,2400,967.0,1327,0.7287113790504898,0.40291666666666665,0.7287113790504898,1.8217784476262244,1433.0,1433.0,2181.0,3635.0,1200.0,3635.0,0.40095228074007006,0.09699525516717945,,False
taiwan,heldout_test_diagnostic,Random review baseline,0.05,300,66.35,1327,0.049999999999999996,0.22116666666666665,0.049999999999999996,0.9999999999999999,233.65,233.65,0.0,181.75,150.0,181.75,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.05,300,300.0,1327,0.22607385079125847,1.0,0.22607385079125847,4.52147701582517,0.0,0.0,1168.25,1350.0,150.0,1350.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.1,600,132.7,1327,0.09999999999999999,0.22116666666666665,0.09999999999999999,0.9999999999999999,467.3,467.3,0.0,363.5,300.0,363.5,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.1,600,600.0,1327,0.45214770158251694,1.0,0.45214770158251694,4.52147701582517,0.0,0.0,2336.5,2700.0,300.0,2700.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.15,900,199.05,1327,0.15000000000000002,0.22116666666666668,0.15000000000000002,1.0,700.95,700.95,0.0,545.25,450.0,545.25,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.15,900,900.0,1327,0.6782215523737755,1.0,0.6782215523737755,4.52147701582517,0.0,0.0,3504.75,4050.0,450.0,4050.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.2,1200,265.4,1327,0.19999999999999998,0.22116666666666665,0.19999999999999998,0.9999999999999999,934.6,934.6,0.0,727.0,600.0,727.0,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.2,1200,1200.0,1327,0.9042954031650339,1.0,0.9042954031650339,4.52147701582517,0.0,0.0,4673.0,5400.0,600.0,5400.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.25,1500,331.75,1327,0.25,0.22116666666666668,0.25,1.0,1168.25,1168.25,0.0,908.75,750.0,908.75,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.25,1500,1327.0,1327,1.0,0.8846666666666667,1.0,4.0,173.0,173.0,4976.25,5885.0,750.0,5885.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.3,1800,398.1,1327,0.30000000000000004,0.22116666666666668,0.30000000000000004,1.0,1401.9,1401.9,0.0,1090.5,900.0,1090.5,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.3,1800,1327.0,1327,1.0,0.7372222222222222,1.0,3.333333333333333,473.0,473.0,4644.5,5735.0,900.0,5735.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,Random review baseline,0.4,2400,530.8,1327,0.39999999999999997,0.22116666666666665,0.39999999999999997,0.9999999999999999,1869.2,1869.2,0.0,1454.0,1200.0,1454.0,,,expected random review capture,False
taiwan,heldout_test_diagnostic,Oracle upper bound,0.4,2400,1327.0,1327,1.0,0.5529166666666666,1.0,2.4999999999999996,1073.0,1073.0,3981.0,5435.0,1200.0,5435.0,,,theoretical maximum if defaults were known,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.05,300,234.0,1327,0.17633760361718162,0.78,0.17633760361718162,3.526752072343632,66.0,66.0,838.25,1020.0,150.0,1020.0,0.7761428958491897,0.19208120798460593,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.1,600,418.0,1327,0.31499623210248684,0.6966666666666667,0.31499623210248684,3.149962321024868,182.0,182.0,1426.5,1790.0,300.0,1790.0,0.7117615788466984,0.16678681610351695,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.15,900,565.0,1327,0.42577241899020346,0.6277777777777778,0.42577241899020346,2.8384827932680228,335.0,335.0,1829.75,2375.0,450.0,2375.0,0.6358964228205143,0.14811744582912703,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.2,1200,677.0,1327,0.5101733232856066,0.5641666666666667,0.5101733232856066,2.550866616428033,523.0,523.0,2058.0,2785.0,600.0,2785.0,0.5709171782915679,0.1338760708994019,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.25,1500,776.0,1327,0.584777694046722,0.5173333333333333,0.584777694046722,2.3391107761868875,724.0,724.0,2221.25,3130.0,750.0,3130.0,0.5172973918569922,0.12261325921811608,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.3,1800,836.0,1327,0.6299924642049737,0.46444444444444444,0.6299924642049737,2.0999748806832454,964.0,964.0,2189.5,3280.0,900.0,3280.0,0.470900606820223,0.11430587190252599,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.4,2400,946.0,1327,0.7128862094951017,0.39416666666666667,0.7128862094951017,1.7822155237377542,1454.0,1454.0,2076.0,3530.0,1200.0,3530.0,0.4005838363150203,0.10175126308637829,same probability ranker as V2 locked manual-review policy,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.05,300,234.0,1327,0.17633760361718162,0.78,0.17633760361718162,3.526752072343632,66.0,66.0,838.25,1020.0,150.0,1020.0,0.7761428958491897,0.19208120798460593,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.1,600,418.0,1327,0.31499623210248684,0.6966666666666667,0.31499623210248684,3.149962321024868,182.0,182.0,1426.5,1790.0,300.0,1790.0,0.7117615788466984,0.16678681610351695,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.15,900,565.0,1327,0.42577241899020346,0.6277777777777778,0.42577241899020346,2.8384827932680228,335.0,335.0,1829.75,2375.0,450.0,2375.0,0.6358964228205143,0.14811744582912703,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.2,1200,677.0,1327,0.5101733232856066,0.5641666666666667,0.5101733232856066,2.550866616428033,523.0,523.0,2058.0,2785.0,600.0,2785.0,0.5709171782915679,0.1338760708994019,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.25,1500,776.0,1327,0.584777694046722,0.5173333333333333,0.584777694046722,2.3391107761868875,724.0,724.0,2221.25,3130.0,750.0,3130.0,0.5172973918569922,0.12261325921811608,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.3,1800,836.0,1327,0.6299924642049737,0.46444444444444444,0.6299924642049737,2.0999748806832454,964.0,964.0,2189.5,3280.0,900.0,3280.0,0.470900606820223,0.11430587190252599,,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.4,2400,946.0,1327,0.7128862094951017,0.39416666666666667,0.7128862094951017,1.7822155237377542,1454.0,1454.0,2076.0,3530.0,1200.0,3530.0,0.4005838363150203,0.10175126308637829,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.05,300,227.0,1327,0.1710625470987189,0.7566666666666667,0.1710625470987189,3.421250941974378,73.0,73.0,803.25,985.0,150.0,985.0,0.7777350666690337,0.19269242381248666,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.1,600,408.0,1327,0.30746043707611154,0.68,0.30746043707611154,3.0746043707611155,192.0,192.0,1376.5,1740.0,300.0,1740.0,0.7092519978718944,0.16779928463124955,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.15,900,558.0,1327,0.42049736247174074,0.62,0.42049736247174074,2.803315749811605,342.0,342.0,1794.75,2340.0,450.0,2340.0,0.6313932752461964,0.1496888996098642,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.2,1200,655.0,1327,0.493594574227581,0.5458333333333333,0.493594574227581,2.4679728711379045,545.0,545.0,1948.0,2675.0,600.0,2675.0,0.5631556954169628,0.13664177108990186,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.25,1500,757.0,1327,0.5704596834966089,0.5046666666666667,0.5704596834966089,2.2818387339864357,743.0,743.0,2126.25,3035.0,750.0,3035.0,0.5083884275294736,0.12646326543059416,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.3,1800,817.0,1327,0.6156744536548606,0.4538888888888889,0.6156744536548606,2.0522481788495353,983.0,983.0,2094.5,3185.0,900.0,3185.0,0.463730021395905,0.11832221362363217,,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.4,2400,932.0,1327,0.7023360964581763,0.3883333333333333,0.7023360964581763,1.7558402411454406,1468.0,1468.0,2006.0000000000002,3460.0,1200.0,3460.0,0.39535705801208976,0.10633622125079689,,False
taiwan,heldout_test_diagnostic,Best literature reproduction model,0.05,300,232.0,1327,0.17483044461190655,0.7733333333333333,0.17483044461190655,3.4966088922381307,68.0,68.0,828.25,1010.0,150.0,1010.0,0.7749320304393769,0.19154961243778337,Best literature reproduction: XGBoost no resampling proxy,False
taiwan,heldout_test_diagnostic,Best literature reproduction model,0.1,600,420.0,1327,0.3165033911077619,0.7,0.3165033911077619,3.1650339110776184,180.0,180.0,1436.5,1800.0,300.0,1800.0,0.7003110983967781,0.16743069277576136,Best literature reproduction: XGBoost no resampling proxy,False
