dataset,dataset_role,literature_group,model_family,config_name,config_display_name,resampling_strategy,native_catboost_categorical,status,failure_stage,error_message,fit_seconds_train_validation,test_set_used_for_selection,resampling_inside_train_fold,split_before_resampling,cv_n_splits,cv_n_repeats,cv_total_folds,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_expected_cost_0_50_mean,cv_expected_cost_0_50_std,cv_fit_time_mean,cv_score_time_mean,validation_pr_auc,validation_roc_auc,validation_brier,validation_ece,validation_precision_at_recall_0_60,validation_best_f1,validation_best_specificity_at_cost_policy,validation_expected_cost_cost_policy,validation_recall_cost_policy,validation_precision_cost_policy,validation_threshold_cost_policy,threshold_policy,policy_feasible
taiwan,primary,B_XGBoost_resampling,XGBoost,xgboost_smote_tomek,XGBoost + SMOTE-Tomek,SMOTE-Tomek,False,success,,,16.618720099912025,False,True,True,5.0,3.0,15.0,0.541928111134728,0.00987442378351945,0.7715285892189393,0.007136153451329923,0.5210345860250948,0.010678970928531957,0.49531082850471514,0.017106538678036184,0.5499322494520728,0.00836398344911896,2332.6,59.66327737114905,0.9767211437225342,0.04215391476949056,0.543895049448531,0.7694074136548347,0.15297090213265505,0.11263461939586948,0.4549086757990868,0.5295389048991355,0.6653113631500107,3389.0,0.7249434815373021,0.3808392715756136,0.32,,
taiwan,primary,B_XGBoost_resampling,XGBoost,xgboost_kmeans_smote,XGBoost + KMeansSMOTE,KMeansSMOTE,False,success,,,12.817929600016214,False,True,True,5.0,3.0,15.0,0.550933343009147,0.011930328292485338,0.7839395589719518,0.007100703582603472,0.5138813788673654,0.014989126982450274,0.44633886706640696,0.02921781889469845,0.6088916984232153,0.02596350256385632,2435.0666666666666,87.8342884198547,0.7514878590901692,0.04195448557535807,0.5546486787931187,0.7855846998042758,0.13790510990644247,0.036378103841406606,0.49595519601742377,0.5500179275726067,0.6041087096083886,3200.0,0.7965335342878673,0.3636050911592707,0.145,,
taiwan,primary,C_LightGBM_resampling,LightGBM,lightgbm_no_resampling,LightGBM + no resampling,none,False,success,,,10.306024699937552,False,True,True,5.0,3.0,15.0,0.5569785265483619,0.010044498804047721,0.7810598487920015,0.007284627243292324,0.479974236534459,0.016838449751039652,0.3751858413775276,0.017566672550188445,0.666591800934453,0.014913597488453605,2637.4,69.25681675233614,0.5830404122670492,0.055850855509440106,0.5621407213125882,0.7861452481353625,0.13314674725726527,0.014951595438934942,0.4938118811881188,0.5519765739385066,0.6518296597474855,3212.0,0.7611152976639035,0.38301099734546834,0.16,,
taiwan,primary,C_LightGBM_resampling,LightGBM,lightgbm_smote,LightGBM + SMOTE,SMOTE,False,success,,,13.972067800001241,False,True,True,5.0,3.0,15.0,0.5447672066789527,0.01088737793582285,0.771438274841988,0.006024107091830849,0.4973520835909504,0.01211253556512591,0.42783984750183374,0.01778069110504589,0.5945460279957797,0.009188025020841144,2510.866666666667,60.976352429081516,0.8118853410085042,0.05624955495198568,0.5466212171559574,0.7742268230762073,0.14179775862451469,0.06204890331941823,0.4652777777777778,0.5370011623401783,0.5651615664455382,3297.0,0.8093443858327054,0.3457823567289118,0.205,,
taiwan,primary,C_LightGBM_resampling,LightGBM,lightgbm_borderline_smote,LightGBM + BorderlineSMOTE,BorderlineSMOTE,False,success,,,14.706913199974224,False,True,True,5.0,3.0,15.0,0.5380909195991042,0.011295746295175027,0.7714324009606326,0.006674745047381987,0.5034637386617921,0.013544753975470102,0.45136525370474284,0.017669635860540295,0.5696043445756852,0.012813089400495706,2456.4,66.06744029146783,0.8539829254150391,0.0568477471669515,0.5361962323809449,0.7757405938425799,0.1438782604899909,0.0676378290404757,0.45972382048331417,0.5318215069495245,0.5557457735929809,3286.0,0.8176337603617182,0.3432458082885163,0.21,,
taiwan,primary,C_LightGBM_resampling,LightGBM,lightgbm_smote_tomek,LightGBM + SMOTE-Tomek,SMOTE-Tomek,False,success,,,20.567646299954504,False,True,True,5.0,3.0,15.0,0.5430414610068129,0.01070334851896529,0.7696361063463832,0.005743576272493028,0.5013380682476455,0.0108444147570308,0.43386821182449264,0.014543069670119715,0.5940258833246372,0.008668023028501021,2490.5333333333333,52.77482564843036,1.206440226236979,0.05701462427775065,0.5481623383037064,0.7750937700922953,0.141343111355308,0.05800612040549041,0.4588370754173863,0.5366591080876795,0.6644553819815964,3303.0,0.7385079125847777,0.38461538461538464,0.24,,
taiwan,primary,C_LightGBM_resampling,LightGBM,lightgbm_kmeans_smote,LightGBM + KMeansSMOTE,KMeansSMOTE,False,success,,,16.228304799995385,False,True,True,5.0,3.0,15.0,0.5522935723507845,0.01126127462393812,0.7824141077794072,0.00687361364561297,0.49893151275001707,0.015573889243295037,0.41637127502842525,0.02256743486303843,0.624161583957671,0.020046681621970562,2524.4666666666667,76.19174641798298,0.9482598145802815,0.055185794830322266,0.5541299608719955,0.7857470911073264,0.13649079295397948,0.02622375887959156,0.49353049907578556,0.5520493289807762,0.6235822811898138,3189.0,0.7844762622456669,0.3717857142857143,0.15,,
taiwan,primary,D_CatBoost_class_strategy,CatBoost,catboost_baseline,CatBoost baseline,none,True,success,,,125.33889959997032,False,True,True,5.0,3.0,15.0,0.5659534510610608,0.011062214103003693,0.7882869771396668,0.006935820828730471,0.48402631713168065,0.014420495811953793,0.3761899207455093,0.015797357205398006,0.679186626138905,0.01192118521372315,2625.5333333333333,60.157423112659636,7.767753108342489,0.042363913853963216,0.5592505980419962,0.7867196650385071,0.1335699157847338,0.009980656644348607,0.49473031618102914,0.5482303955586398,0.6396319280975818,3169.0,0.7761868877166541,0.3795136330140015,0.15,,
taiwan,primary,D_CatBoost_class_strategy,CatBoost,catboost_class_weights,CatBoost class_weights,none,True,success,,,128.09564009995665,False,True,True,5.0,3.0,15.0,0.5635100839215443,0.01173595064554528,0.7879446370680981,0.0070866177399317755,0.5426934096838227,0.00811352248403489,0.6402982078943442,0.015838328712667153,0.47109441184971296,0.008545445938813956,2005.2,53.1390628445779,7.941886234283447,0.04268558820088705,0.5572314817474755,0.7857365284158173,0.17639441973976602,0.19614246396567758,0.4920049200492005,0.547752808988764,0.6030387331478707,3135.0,0.8070836473247928,0.3660287081339713,0.365,,
taiwan,primary,D_CatBoost_class_strategy,CatBoost,catboost_balanced,CatBoost Balanced,none,True,success,,,130.43118519999553,False,True,True,5.0,3.0,15.0,0.5647707961612567,0.01129508601967169,0.7884023852977831,0.006748615137407943,0.5440260073407935,0.008960734489237385,0.6442309834408345,0.015544517321649309,0.47094510868270867,0.00895508573003338,1993.3333333333333,56.183825272245585,8.095240211486816,0.04102338155110677,0.5590401796149151,0.7866408076927355,0.17683660555915034,0.19767088912487024,0.49382716049382713,0.5488611315209405,0.5799272416006848,3138.0,0.8229088168801808,0.3574468085106383,0.355,,
